"","Mean_Untreated_Freq","Median_Untreated_Freq","SD_Untreated_freq"
"Canx",0.219533344773958,0.19820514481785,0.0895691588740298
"Dnajc5",0.12466428667472,0.0995129629878777,0.0795325714417489
"Egfr",0.945822763907042,0.943423074237028,0.0829754746285706
"Errfi1",0.823455892453053,0.807185951439675,0.122208391775948
"Gapdh",0.90786513277375,0.899262833502841,0.0929996680147687
"Kpnb1",1.02182052718438,0.991231877436647,0.210937687487526
"Myc",1.08005680972649,1.08202514890801,0.0443932757422594
"Nras",0.437313021383626,0.438999763816722,0.0756083768977218
"P53",0.118575692900127,0.0983358547655068,0.0794004865981047
"Rab7a",0.861468025101551,0.870376429260229,0.153013467951873
"Rpap3",0.104762099496116,0.104361781334765,0.0224199392050095
"RhoA",1.10362925320604,1.1070113761834,0.0887412316767134
"Sec16a",0.10309258568801,0.0963382938248288,0.0328248352660273
"Slc2a1",0.262714117016369,0.254927425398347,0.0319653828902601
