"WellName","Canx","Dnajc5","Egfr","Errfi1","Gapdh","Kpnb1","Myc","Nras","P53","Rab7a","Rpap3","RhoA","Sec16a","Slc2a1"
"A12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"I12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M15",0.225395206527282,0.100405679513185,0.924752475247525,0.885714285714286,0.927234927234927,0.700956937799043,1.01578947368421,0.38996138996139,0.100405679513185,0.897569444444444,0.12455003599712,1.03525179856115,0.0788330229671012,0.240395809080326
"M16",0.0972741849278461,0.0576036866359447,0.95970695970696,0.737777777777778,0.710371819960861,0.818367346938776,1.01838934686113,0.407258064516129,0.0576036866359447,0.861759425493716,0.115746971736205,1.04289118347895,0.0919778699861687,0.262108262108262
"M17",0.176037834997373,0.0837789661319073,0.977319587628866,0.786016949152542,0.95,0.918803418803419,1.05456774984672,0.464471403812825,0.0837789661319073,0.865168539325843,0.070323488045007,1.2814465408805,0.159243441122636,0.254622292657158
"M18",0.216321967579653,0.0425055928411633,0.851985559566787,0.70059880239521,0.896414342629482,0.946153846153846,1.09328968903437,0.336673346693387,0.0425055928411633,0.88527724665392,0.125544267053701,1.13639733135656,0.113242574257426,0.239241803278689
"M19",0.197993664202746,0.0692717584369449,0.907975460122699,0.846330275229358,1.0078431372549,0.875,1.11270358306189,0.437931034482759,0.0692717584369449,0.856492027334852,0.113986013986014,0.959701492537313,0.0824742268041237,0.240314769975787
"M20",0.163322185061315,0.0656934306569343,0.860971524288107,0.759704251386322,0.888646288209607,0.772727272727273,1.04010695187166,0.440068493150685,0.0656934306569343,0.901918976545842,0.0698305084745763,1.23600605143722,0.108474576271186,0.243582741671218
"M21",0.159305993690852,0.0780780780780781,1,0.90719696969697,0.910284463894967,1.08470588235294,1.066089693155,0.504201680672269,0.0780780780780781,0.676891615541922,0.138263665594855,1.10466004583652,0.100207325501037,0.251139240506329
"M22",0.114923747276688,0,0.821603927986907,0.935779816513762,0.814732142857143,0.823091247672253,1.0712401055409,0.357277882797732,0,0.985882352941176,0.0978660779985283,1.07242990654206,0.0727383863080685,0.276607538802661
"N15",0.180818301803784,0.0953389830508475,0.875486381322957,0.761904761904762,0.973741794310722,0.820833333333333,1.11876184459886,0.468627450980392,0.0953389830508475,0.851674641148325,0.100923482849604,1.13414634146341,0.109079033311561,0.230544177881802
"N16",0.194333996023857,0.0805243445692884,1.0054347826087,0.821686746987952,0.976744186046512,0.861940298507463,1.05627931214174,0.402573529411765,0.0805243445692884,0.810810810810811,0.0675381263616558,1.20117044623263,0.0656716417910448,0.234985422740525
"N17",0.276575729068674,0.0987124463519313,0.951063829787234,0.69392523364486,0.875,0.903525046382189,1.07067334446299,0.48728813559322,0.0987124463519313,0.641393442622951,0.0966595593461265,1.16198877305533,0.141529664045747,0.273605150214592
"N18",0.254948162111216,0.0337078651685393,0.941798941798942,0.583489681050657,0.850909090909091,1.00390625,1.11251435132032,0.358921161825726,0.0337078651685393,0.798816568047337,0.127659574468085,0.992063492063492,0.0963270963270963,0.246111111111111
"N19",0.223466407010711,0.0611835506519559,0.879207920792079,0.829326923076923,0.840607210626186,1.18872549019608,1.09013914095584,0.451292246520875,0.0611835506519559,0.874407582938389,0.0771812080536913,1.11011904761905,0.0936305732484076,0.241055718475073
"N20",0.211177052423343,0.0338345864661654,0.859007832898172,0.689516129032258,0.813620071684588,0.70479704797048,1.05850091407678,0.418604651162791,0.0338345864661654,0.953947368421053,0.130581867388363,1.14961240310078,0.0590969455511288,0.290825158684362
"N21",0.249007373794668,0.13849765258216,0.876685934489403,0.669064748201439,0.979775280898876,0.808411214953271,1.116458704694,0.485380116959064,0.13849765258216,0.845758354755784,0.114263803680982,0.916597164303586,0.102803738317757,0.211331444759207
"N22",0.21120246659815,NA,0.875232774674115,0.850094876660342,1.03030303030303,1.02134146341463,1.07604562737643,0.372623574144487,NA,0.853707414829659,0.10185873605948,1.16775777414075,0.080316742081448,0.256765261170547
"O13",0.138930534732634,0.142857142857143,0.877016129032258,0.751865671641791,0.878205128205128,NA,1.0657071339174,0.555166374781086,0.142857142857143,0.982608695652174,0.10686482661005,1.07038626609442,0.0819783197831978,0.242506811989101
"O14",0.145691906005222,0.0861280487804878,0.925093632958802,0.757894736842105,0.846560846560847,0.75,1.14268585131894,0.416216216216216,0.0861280487804878,0.888307155322862,0.0766871165644172,1.08290598290598,0.0741956664478004,0.235155790711346
"O15",0.0602889885401096,0.0983358547655068,0.940038684719536,0.883910386965377,0.938423645320197,NA,1.05637982195846,0.400793650793651,0.0983358547655068,0.896470588235294,0.0870806566738044,1.07372549019608,0.0756972111553785,0.243406593406593
"O16",0.146917148362235,0.0720461095100865,0.900709219858156,0.757692307692308,0.803921568627451,0.918114143920596,1.06311274509804,0.306024096385542,0.0720461095100865,0.666011787819253,0.135400907715582,1.00232738557021,0.0911949685534591,0.259067357512953
"O17",0.171066525871172,0.130620985010707,1.0361216730038,0.678217821782178,0.867924528301887,1.02,1.04477611940298,0.44253859348199,0.130620985010707,0.873949579831933,0.128358208955224,1.08460365853659,0.141087405368204,0.259259259259259
"O18",0.126277811184606,0.0501981505944518,0.841739130434783,0.672932330827068,0.813278008298755,0.978557504873294,1.09704918032787,0.300796812749004,0.0501981505944518,0.811287477954145,0.0993071593533487,1.11348122866894,0.0758570386579139,0.231129315389116
"O19",0.0994475138121547,0.0958721704394141,0.944015444015444,0.810916179337232,1.042,1.03934426229508,1.18223383409536,0.41563055062167,0.0958721704394141,0.80982905982906,0.111411208642809,1.22503961965135,0.0705218617771509,0.205518018018018
"O20",0.110406091370558,0.128805620608899,0.917197452229299,0.858208955223881,0.814569536423841,0.792270531400966,1.07047872340426,0.404452690166976,0.128805620608899,0.72147001934236,0.129516019086571,1.08125502815768,0.074438202247191,0.262644728823888
"O21",0.228247162673392,0,0.969365426695842,0.737470167064439,0.817582417582418,1.1869918699187,1.045742434905,0.463865546218487,0,0.79945054945055,0.0696864111498258,1.09773260359656,0.096301465457083,0.212752912323728
"O22",0.163455562461156,0.0870535714285714,0.804918032786885,0.803455723542117,0.87012987012987,1.24418604651163,1.02877697841727,0.335249042145594,0.0870535714285714,0.9082774049217,0.126248216833096,1.19390581717452,0.0766331658291457,0.255232558139535
"P13",0.169282511210762,NA,0.896969696969697,0.704918032786885,0.79646017699115,0.912234042553192,1.10570824524313,0.451669595782074,NA,0.822736030828516,0.0572363041700736,1.10936270653029,0.0604249667994688,0.360813704496788
"P14",0.16983016983017,0.11727078891258,0.947858472998138,0.783783783783784,0.708411214953271,0.874149659863946,1.06635388739946,0.429590017825312,0.11727078891258,0.780669144981413,0.0925799863852961,1.11686143572621,0.0813356164383562,0.325901639344262
"P15",0.099577266322217,0.15736505032022,0.908333333333333,0.798534798534799,0.783482142857143,0.868894601542416,1.09401231113598,0.398963730569948,0.15736505032022,0.76278118609407,0.0995879120879121,1.08503679476697,0.0968790637191157,0.236065573770492
"P16",0.102071753410814,0.106382978723404,0.954305799648506,0.644970414201183,0.827044025157233,0.834586466165414,1.10113574905354,0.373390557939914,0.106382978723404,0.439490445859873,0.139196675900277,0.839080459770115,0.0963494913225613,0.246523388116308
"P17",0.142131979695431,0.344916344916345,0.949119373776908,0.797413793103448,0.966824644549763,0.956639566395664,1.0492135971588,0.324543610547667,0.344916344916345,0.435835351089588,0.108562691131498,1.19872813990461,0.118730158730159,0.25599520383693
"P18",0.162790697674419,0.0834879406307978,0.728026533996683,0.65625,0.720388349514563,1.01134215500945,1.0681233933162,0.307952622673435,0.0834879406307978,0.424731182795699,0.101596516690856,1.17367168913561,0.134907251264755,0.272017837235229
"P19",0.188308576904648,0.238434163701068,0.931237721021611,0.666666666666667,0.905511811023622,1.16236162361624,1.10831509846827,0.385,0.238434163701068,0.969094922737307,0.122990915443746,1.10339622641509,0.0902825637491385,0.278158058494088
"P20",0.198416625432954,0.0641330166270784,0.918918918918919,0.736842105263158,0.829268292682927,0.797927461139896,1.09863339275104,0.351735015772871,0.0641330166270784,0.795719844357977,0.101327742837177,1.07360594795539,0.0795306388526728,0.243636363636364
"P21",0.309720785935884,NA,0.943693693693694,0.916326530612245,0.9021113243762,1.02083333333333,1.07440476190476,0.446640316205534,NA,0.798185941043084,0.1182156133829,1.1268834258525,0.105223880597015,0.259653049804141
"P22",0.233173076923077,0.123595505617978,0.942913385826772,0.832775919732441,0.873214285714286,1.08333333333333,1.0625,0.447916666666667,0.123595505617978,0.895372233400402,0.086803105151729,1.17642341619888,0.147450980392157,0.249848024316109
"A23",0.325125909345271,0.223978919631094,0.944915254237288,0.921700223713647,1.00806451612903,1.29540481400438,1.0875,0.479508196721311,0.223978919631094,1.00997506234414,NA,NA,0.109442060085837,0.246659242761693
"B23",0.320040383644624,0.145701357466063,0.892768079800499,0.849256900212314,0.96316758747698,1.0774818401937,1.08,0.534136546184739,0.145701357466063,1.03376623376623,NA,NA,0.105809128630705,0.276621058893516
"C23",0.315709201830198,0.169565217391304,0.996086105675147,0.881057268722467,0.876355748373102,1.28940568475452,1.1400875547217,0.472222222222222,0.169565217391304,1.07511737089202,NA,NA,0.0811594202898551,0.240761478163494
"D23",0.370254810192408,0.149146451033243,0.981776765375854,0.976595744680851,1.02893309222423,1.34361233480176,1.10647307924985,0.451612903225806,0.149146451033243,1.08616187989556,NA,NA,0.0943257184966839,0.251798561151079
"E23",0.410569105691057,0.159159159159159,0.947470817120623,1.06106870229008,0.990671641791045,1.62886597938144,1.08529048207664,0.455611390284757,NA,1.19047619047619,NA,NA,0.208281053952321,0.315892740353172
"F23",0.387192118226601,0.224568138195777,1.08636363636364,1.07238605898123,1,1.1303317535545,1.09418604651163,0.565529622980251,NA,1.02564102564103,NA,NA,0.181192660550459,0.315210355987055
"G23",0.400531679220204,0.239426523297491,1.07331975560081,1.09224318658281,0.943037974683544,1.37327188940092,1.07079646017699,0.555803571428571,NA,1.02922755741127,NA,NA,0.180574555403557,0.313653136531365
"H23",0.348331648129424,0.18796992481203,1.15079365079365,0.89041095890411,0.930817610062893,1.33112582781457,1.08773132282385,0.556506849315068,NA,0.997601918465228,NA,NA,0.12874251497006,0.32118591723286
"I23",0.361401673640167,0.0740072202166065,1.02836879432624,0.865603644646925,1.01431127012522,1.00683371298405,1.15050377833753,0.567901234567901,NA,0.949119373776908,NA,NA,0.104457751164338,0.284970722186077
"J23",0.371072589382449,0.085812356979405,0.991323210412148,0.974082073434125,0.893305439330544,1.34602076124567,1.101875,0.44362292051756,0.085812356979405,0.858666666666667,NA,NA,0.126721763085399,0.291720569210867
"K23",0.192239858906526,0.312845303867403,1.0622009569378,0.98874296435272,1.06382978723404,1.14678899082569,1.03407601572739,0.581443298969072,0.312845303867403,0.784741144414169,NA,NA,0.0557598039215686,0.249706227967098
"L23",0.226091763405196,0.33131159969674,0.943152454780362,0.834368530020704,0.896030245746692,1.23744292237443,1.08405029781602,0.586073500967118,0.33131159969674,0.912568306010929,NA,NA,0.102098466505246,0.30440414507772
"M23",0.320655044902272,0.227341389728097,1.19409282700422,0.794174757281553,1.01431127012522,0.913684210526316,1.12610340479193,0.562628336755647,0.227341389728097,0.876681614349776,NA,NA,0.152258064516129,0.309234507897934
"N23",0.306039488966318,0.18609865470852,1.02995391705069,0.783333333333333,1.06701030927835,0.907928388746803,1.14483554529717,0.409926470588235,0.18609865470852,0.866803278688525,NA,NA,0.121701669359181,0.276503409795412
"O23",0.186996547756041,0.100313479623824,0.993710691823899,1.06932773109244,1.04157043879908,0.8980044345898,1.09255202628697,0.39646017699115,0.100313479623824,1.0098814229249,NA,NA,0.0754958413307742,0.239789196310935
"P23",0.255345143555284,NA,1.02066115702479,1.0561797752809,1.02603036876356,1.45977011494253,0.88,0.38,NA,1.04615384615385,NA,NA,0.108127208480565,0.294500723589001
