"","Genes","median","high","max","nintynine","five","min","low","Mean","Genes","median","high","max","nintynine","five","min","low","Mean"
"1","Canx",0.278219797236766,1.28959128781621,0.500245218244237,0.416072078546296,0.0892189998802991,0.0132085855806274,-0.743352628742205,0.268611849016367,"Canx",0.278219797236766,1.28959128781621,0.500245218244237,0.416072078546296,0.0892189998802991,0.0132085855806274,-0.743352628742205,0.268611849016367
"2","Dnajc5",0.0898502495840266,0.364996740784313,2,0.230741052418835,0.0325011965824505,0,-0.180767884058686,0.11108414768076,"Dnajc5",0.0894308943089431,0.35577860572022,0.344916344916345,0.213232759614973,0.0323900657065888,0,-0.173260857476508,0.0979818430812394
"3","Egfr",0.813296227581942,2.03066303766543,1.24764890282132,1.03149585603897,0.277166583416583,0.109649122807018,-0.418854631628872,0.773246561388457,"Egfr",0.813296227581942,2.03066303766543,1.24764890282132,1.03149585603897,0.277166583416583,0.109649122807018,-0.418854631628872,0.773246561388457
"4","Errfi1",0.76765379234324,1.80593060473601,1.65648854961832,0.994763090410305,0.331469205146626,0.160649819494585,-0.29919670128467,0.742206549851417,"Errfi1",0.76765379234324,1.80593060473601,1.65648854961832,0.994763090410305,0.331469205146626,0.160649819494585,-0.29919670128467,0.742206549851417
"5","Gapdh",0.845396397912809,1.73441792574893,1.29588014981273,1.03537432208436,0.622385856775394,0.466666666666667,-0.0290302798256419,0.845937563460369,"Gapdh",0.845396397912809,1.73441792574893,1.29588014981273,1.03537432208436,0.622385856775394,0.466666666666667,-0.0290302798256419,0.845937563460369
"6","Kpnb1",0.863517060367454,2.35135135135135,1.62886597938144,1.18768531802965,0.119736057896978,0.0566448801742919,-0.62162162162162,0.815079084513259,"Kpnb1",0.863517060367454,2.35135135135135,1.62886597938144,1.18768531802965,0.119736057896978,0.0566448801742919,-0.62162162162162,0.815079084513259
"7","Myc",1.02581421008913,1.7287871151738,1.57077326343381,1.13454533175618,0.202537348552756,0.129518072289157,0.28164654557718,0.923150114864403,"Myc",1.02581421008913,1.7287871151738,1.57077326343381,1.13454533175618,0.202537348552756,0.129518072289157,0.28164654557718,0.923150114864403
"8","Nras",0.402401676337847,1.05064378156481,0.682274247491639,0.555325673942957,0.259729832518699,0.162295081967213,-0.251847261125006,0.402997627418379,"Nras",0.402401676337847,1.05064378156481,0.682274247491639,0.555325673942957,0.259729832518699,0.162295081967213,-0.251847261125006,0.402997627418379
"9","P53",0.0297351366111084,0.134662491857849,1.5,0.115693088983173,0.0107263471360362,0,-0.0721031227963747,0.0470434500406777,"P53",0.0892338818721767,0.351167939830991,0.344916344916345,0.206777558144426,0.031469440324721,0,-0.170148470040375,0.097047823403328
"10","Rab7a",0.84052146932239,1.82743701495548,1.24385245901639,1.07673551770877,0.583785714285714,0.32967032967033,-0.146831012997088,0.837862106695678,"Rab7a",0.84052146932239,1.82743701495548,1.24385245901639,1.07673551770877,0.583785714285714,0.32967032967033,-0.146831012997088,0.837862106695678
"11","RhoA",1.18162025561023,2.11622313230983,1.4896449704142,1.38867248062016,0.919434399369389,0.232941176470588,0.25914405147797,1.17470313932491,"RhoA",1.18162025561023,2.11622313230983,1.4896449704142,1.38867248062016,0.919434399369389,0.232941176470588,0.25914405147797,1.17470313932491
"12","Rpap3",0.136551465063862,0.578999181604866,0.446389496717724,0.302334567967989,0.0703121607717649,0.000736919675755343,-0.296699327762241,0.15160672879788,"Rpap3",0.136551465063862,0.578999181604866,0.446389496717724,0.302334567967989,0.0703121607717649,0.000736919675755343,-0.296699327762241,0.15160672879788
"13","Sec16a",0.128386409000182,0.546428112817333,0.349669603524229,0.25392482154941,0.0620824836005151,0.0203665987780041,-0.278768831563523,0.138507746299519,"Sec16a",0.128386409000182,0.546428112817333,0.349669603524229,0.25392482154941,0.0620824836005151,0.0203665987780041,-0.278768831563523,0.138507746299519
"14","Slc2a1",0.246921876780753,0.566861526820134,0.411851126346719,0.317462264591803,0.0942084942084942,0.0516431924882629,-0.0726610629242894,0.239213154687743,"Slc2a1",0.246921876780753,0.566861526820134,0.411851126346719,0.317462264591803,0.0942084942084942,0.0516431924882629,-0.0726610629242894,0.239213154687743
