"","Mean_Untreated_M","Median_Untreated_M","SD_Untreated_M"
"Canx",22.3901776961262,22.4106892102683,1.17373026812049
"Dnajc5",95.5961454270771,95.7742439524508,4.33818409527666
"Egfr",163.104012426558,163.803971307498,7.03458174211865
"Errfi1",181.491572218423,180.59664571256,8.79013779647493
"Gapdh",168.159614171645,167.179892385935,6.08988610754843
"Kpnb1",160.270869620984,158.954959723649,8.34607262254458
"Myc",100.983008827857,99.8371150200582,4.29100776004196
"Nras",94.5822745455872,93.7018699982705,3.81597690608806
"P53",86.0865845586351,83.7838860805857,9.42286724895115
"Rab7a",142.299340207985,141.247948168317,6.46242159311002
"Rpap3",21.2242487003784,21.1711582295484,0.762565745581738
"RhoA",25.9287690523376,25.8597036770208,1.63783408444414
"Sec16a",13.9796362667177,13.9871082480405,0.330718710931085
"Slc2a1",25.3044593413364,25.2172072004532,1.28028566508255
