"Class","Compound","WellName_R1","WellName_R2","Canx_M","Dnajc5_M","Egfr_M","Errfi1_M","Gapdh_M","Kpnb1_M","Myc_M","Nras_M","P53_M","Rab7a_M","Rpap3_M","RhoA_M","Sec16a_M","Slc2a1_M"
"Arginine deaminase","Cl-Amidine (hydrochloride)","C8","D8",1.12707949197019,1.02787310561389,0.896132662418432,1.00062503230938,0.958333470014876,1.08919934361634,1.00802888126251,1.09279617665431,1.06441232678336,1.00728436482948,1.13278553651703,1.29230223489229,1.05326277810462,1.0403681899424
"Arginine deaminase","F-Amidine (trifluoroacetate salt)","C9","D9",1.16429442150258,1.01698312376299,0.886777308236782,1.01335150532078,0.937194995752019,1.0038112273983,1.01912315449621,1.07187315278223,0.935570223451755,1.02995816521195,1.11839009748494,1.27401642852989,1.0132494411254,1.05198550618194
"ATM","Mirin","O8","P8",1.04572682271804,1.01017005498018,0.898007097134181,0.869276117155832,0.932344274381426,0.987605075458679,0.960396312637062,0.974426304360355,0.980616742511644,0.954926949577888,1.03570770178793,1.05890595410479,0.977479945740486,0.970918405158686
"Bromodomain","(_)-JQ1","I4","J4",1.08726631823861,1.00551866597688,0.918985457928344,0.978412760588024,0.907046618241133,0.94226957029561,0.993492487747064,0.975180994889604,0.959896351999122,0.906272538326634,0.946148027607604,1.03799539204748,0.982927220530057,0.965129330302638
"Bromodomain","(+)-JQ1","I3","J3",0.984085705565735,0.990400721196235,0.870208334342758,0.737019298231575,1.05038051381217,0.901341128881703,0.739504721443317,0.950473414067344,0.952291851065095,0.950763058723995,1.09502721896324,1.20985660403723,1.03060275525198,0.99033082736936
"Bromodomain","Bromosporine","C21","D21",1.04265096415505,0.910946079237218,0.925506793562144,0.895267931944945,1.03944114894737,0.978277149089146,0.798509677911919,1.01709595704091,0.737255567602811,1.00309775882173,1.04544977799529,1.53512572300016,1.08499460684797,1.0521822394293
"Bromodomain","CPI-203","G15","H15",1.07245555753018,1.01414322620198,0.877473279171034,0.724436630492449,1.07436205513974,0.888845196373276,0.75854518366264,1.02037341244737,1.08152013718739,0.887163503054441,1.16314199528531,1.34616469238119,1.03600698357212,1.01192875810633
"Bromodomain","GSK2801","C22","D22",1.03770722126536,0.971063732169889,0.97095853859885,1.05335603971776,0.997438228384809,0.968026703707147,1.03304255904751,1.02642485411352,0.894337256996426,0.970190465246209,1.04996128207576,1.14621251180744,0.997634180969964,1.08521290622482
"Bromodomain","I-BET151","I2","J2",0.977059169306391,1.02668256176583,0.856047533506402,0.731729114375172,0.944184253745109,0.890412019197953,0.735313861555399,0.966464268427765,0.952919391504766,0.999518945987439,1.03130264539512,1.21495321479331,1.00667613400461,1.03804020048725
"Bromodomain","I-BET762","E2","F2",0.999810634456215,1.04335502132016,0.828110429244761,0.758026462441862,1.02322956012478,0.924644537995111,0.75174431120837,0.99830293718388,1.0202526840687,0.969533899111005,1.14278226907878,1.41116984707396,1.07199747271327,1.0761732658546
"Bromodomain","OTX015","G19","H19",1.05755648362516,0.903837884197373,0.876645302435653,0.760750389829387,1.16609617483409,0.908595598591686,0.771454756658958,1.0132212043718,1.17230495640703,0.956223277867013,1.12952391774746,1.28997118903431,1.02953714413423,1.03761605499565
"Bromodomain","PFI-1","G8","H8",1.00205357820843,0.996099417360644,0.898289275022028,0.859553439443997,0.917953075738761,0.935971577049245,0.80404887723877,1.02977339457241,1.04644016479978,0.967902315983043,1.06770859106238,1.16142475748878,1.04499627901882,1.05009388307842
"Bromodomain","PFI-3","E21","F21",1.10406347883502,0.94835935706202,0.963848609662577,1.03749224478764,0.997730527248974,1.07254943595172,0.99277650383525,0.996726758062775,1.10719655892693,0.986433529061469,1.02098484004057,1.10452186887064,1.03042783832224,1.03058407418378
"Bromodomain","RVX-208","I17","J17",1.05664582900281,0.972435256726396,0.979398928822862,1.00076111608701,1.00693275957779,0.932640632554761,0.923935243380799,1.03653886367593,1.07797381150611,0.983433575000165,1.04040850834929,1.06067831611232,1.01599246964495,1.02845613195484
"Demythylase","2-PCPA (hydrochloride)","M14","N14",1.03872511338376,1.08501417646412,0.97245070083981,0.941196300719858,0.981909176663431,0.914434475398047,0.984418943036935,0.971041562560105,0.991788822266259,1.01429111443338,1.04317466608979,0.92349095123168,1.02022622992554,0.974720020607773
"Demythylase","Daminozide","K6","L6",1.04972924967544,1.11604845281869,0.928104861925362,0.934317005344,0.944398902979799,0.881236412798843,0.971534839964735,1.00936721747273,1.0255958010722,1.00786934669871,1.04400056244469,1.06632227858497,0.981127995215579,0.995007644961411
"Demythylase","GSK-J1 (sodium salt)","K7","L7",1.10893358263236,1.04809050021143,0.924368643022126,0.986957250197138,0.965021235791877,0.944054699117527,0.973739653378199,1.00247689732597,0.95210052059131,1.01334690986208,1.01373470512481,1.09697143271312,0.989513437110619,0.93246871232413
"Demythylase","GSK-J2 (sodium salt)","K8","L8",1.06095394319719,0.937417303065174,0.916964481433675,0.959277229792754,0.929488358192272,0.945317326143442,0.968254455218721,0.988291511992197,0.941239489604456,0.990119323634515,1.0043210352371,1.05862250916147,0.993248920214989,1.00040295726672
"Demythylase","GSK-J4 (hydrochloride)","K9","L9",1.05301561481631,0.996387983700943,0.936327719424304,0.996426794248479,0.973864045039873,0.942414732656757,0.955554300686213,1.01328822858992,0.961715127102993,0.999660886535608,0.986109300621284,1.02900007343247,1.03627836008619,0.982424685188779
"Demythylase","GSK-LSD1 (hydrochloride)","I21","J21",0.99842326469102,1.01145838525001,1.00594453710804,1.0725022273694,0.994466511634342,0.935662296828733,0.984725817217813,1.04079944402372,1.0108561802974,0.996642126206651,0.99548633773053,1.08720713471097,1.01182915737122,0.977403929354067
"Demythylase","IOX1","I9","J9",1.10158511828233,1.02340043763828,0.967381676489991,0.958981553370351,0.96641661999491,0.972367214560242,0.955748962767045,0.966149354325964,0.99397436331836,1.0256950859206,1.0033954974885,1.08026507980361,1.0201882038261,1.05200090954682
"Demythylase","JIB-04","E22","F22",1.05112168246426,0.984164348510033,1.11470086539475,1.41886668323291,1.12747945231971,0.956946815612123,1.00580585527362,1.03102059652916,0.96077107100937,0.984384453708106,1.03981884596803,1.1188947799075,1.02777428516505,1.06129616095259
"Demythylase","Methylstat (hydrate)","G3","H3",1.03244843132463,0.994217444166062,0.925436720320988,1.02981910185892,0.934441403187512,0.965909457545177,0.893621665399883,1.0290486998409,0.945528827004779,0.972200653900868,0.99303482348537,1.17450982413984,1.01236549470967,0.919203747057573
"Demythylase","N-Oxalylglycine","C14","D14",1.13855100692272,1.01301960805889,0.892992883468022,0.905006969645427,0.978624180768881,1.0386950180524,1.02220202007062,1.12498345183273,0.999071922522789,1.02468649383703,1.16390065463928,1.23969453072459,1.03620100767981,1.05574389506775
"DNMT","2Õ,3Õ,5Õ-triacetyl-5-Azacytidine","A16","B16",1.1413901442791,1.0383648560614,0.981476974826868,1.03414164664009,1.01996347705186,1.01268600252262,1.05849516050867,1.12456884337577,0.960649675466665,1.10613795865883,1.05663893561713,1.29783762535527,1.05306904895462,1.13122907745387
"DNMT","5-Azacytidine","G9","H9",1.11053485996217,1.04365991109955,1.08295340510522,1.27565785879332,0.854349304875797,0.969011986068297,1.29111837342294,0.996596284948393,1.17629614535407,1.02427061972006,1.01026539494527,1.46976211867362,1.10483825454728,1.01913410980113
"DNMT","6-Thioguanine","G16","H16",1.16615917083341,0.981185952443036,1.12568458185437,1.25483085711747,0.910069598726781,0.901600220760136,0.963720666623276,0.986009561556266,0.947432317012085,0.958582237350186,1.01787831922478,1.14325639858992,1.05242470953098,1.04498593834931
"DNMT","Decitabine","G11","H11",1.13385129036164,1.0295412567211,0.888450757766979,0.898964164259675,0.942962775546848,0.925899602565764,0.955033385386341,1.01498286692825,1.03605722148002,0.960780084498117,1.06534002248425,1.09496853191872,1.0221293917428,1.03705853607991
"DNMT","RG-108","A15","B15",1.14726325740034,1.06576168315463,1.0015636164486,1.01057806566618,1.03957476415266,1.04124476409665,1.03554162745651,1.12756494002931,1.07690350873906,1.03359435504842,1.08800069323274,1.3277998491303,1.01970015165365,1.17440148908124
"DNMT","RSC-133","K18","L18",1.01280856904486,0.93838019566486,0.984040580660117,0.978887636663648,0.972196013137869,0.932106900060351,0.959437253099216,0.998290816219179,0.949417591194238,0.951016849091964,1.0200639741058,1.09609114120506,1.01483766407115,1.03906735255331
"DNMT","S-Adenosylhomocysteine","A17","B17",1.1294585543877,1.04869141029514,1.03220772804712,1.05513973663002,1.01837362399379,0.99758848558651,1.06589842020211,1.08885262000373,1.08557600879415,1.02586963999621,1.03597203040546,1.20538709970953,1.03587192238126,1.05880436690969
