"","Mean_Untreated_het","Median_Untreated_het","SD_Untreated_Het"
"Canx",1.80437165872852,1.83468295731881,0.346079879295765
"Dnajc5",3.91332307274378,3.84357170953451,1.08433647656064
"Egfr",24.6644974827057,24.3893778355957,4.4957677153644
"Errfi1",35.6929644759611,34.7531903839611,7.17612167228506
"Gapdh",17.4564883700299,17.2644895694431,2.09233807414617
"Kpnb1",10.7458788908238,10.6397081607361,2.2795769162543
"Myc",21.7484265160138,21.6874162195582,1.36499365406077
"Nras",3.21561874765074,3.22960448333563,0.60924679733864
"P53",2.9745364915432,2.68600613409845,1.89512750586688
"Rab7a",10.6613351553143,10.4067726512888,2.39774450028431
"Rpap3",0.239636190963097,0.229419320544999,0.0454721415805648
"RhoA",4.06832420006406,4.08674573397305,0.566439852754743
"Sec16a",0.674347495477224,0.645566336174353,0.179117837290459
"Slc2a1",5.35178363612201,5.24365669214136,0.978779180011831
