"","WellName","Canx","Dnajc5","Egfr","Errfi1","Gapdh","Kpnb1","Myc","Nras","P53","Rab7a","Rpap3","RhoA","Sec16a","Slc2a1"
"1","A12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","B12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","C12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","D12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","E12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","F12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","G12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","H12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","I12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","J12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","K12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","L12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","M12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","N12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","O12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","P12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","M15",1.54096720534385,6.3764853332236,23.7953727197781,31.3598916418162,18.3104966177517,7.77194340766655,19.3780704364337,3.36449001689388,1.00114653215188,10.4213540723877,0.23336138775062,2.90935011091071,0.39617880403706,4.59262909216093
"18","M16",1.78544334752512,3.27073725558691,21.6823087087447,26.5135795801925,14.144795137057,8.83264565042323,19.9423595221366,3.69689457887512,2.90750565138613,10.4541865328517,0.277801516800871,3.82202656490911,0.780257954842892,5.66236897964307
"19","M17",2.19707739788281,3.39216311321377,29.7801216956913,22.7871406215953,18.6395462790547,7.75452091204874,21.4631876773854,3.44227980636038,1.97354330189284,7.49825068380865,0.198031609317386,4.44448366639201,0.704381478913844,5.40845478590502
"20","M18",1.94778361194427,3.47887167788009,19.3176435181603,35.5384376611955,16.829611618324,11.2691241623251,21.6206692438246,2.31826085606104,2.03851051846995,9.51480731583914,0.263558813776521,4.302055345954,0.585389262461182,5.68666315672212
"21","M19",1.92599441188254,3.84820592957861,24.5101367786678,34.201860555956,19.4815756809291,9.01761356918215,21.6338787432749,3.01521488154013,7.85707445815299,11.8043691541997,0.1983205215046,3.39994686417982,0.716814058194219,5.29519876494648
"22","M20",1.61910045336592,2.7592162128366,16.7793588547198,45.598080876143,14.4701845094049,8.68878536522448,20.4644335749374,3.68936070148491,2.72983374422008,11.7396433039447,0.216523172280448,4.10412030237393,0.622094708504161,5.84737469395613
"23","M21",1.52123475524464,3.06140847450791,28.7831692769477,32.0359013789836,16.3951271107073,11.4155780243062,21.9425966809988,4.26121722257545,1.46398755689597,9.35488926026248,0.216693304710639,3.50635909646442,0.587511460217501,5.32791899275868
"24","M22",1.27751793528652,NA,21.1222653492093,34.6369336580629,16.3598377929836,8.86750647358143,20.3909308160086,3.18330077039387,3.04247901951387,15.0107761292059,0.21822568013689,3.18269036962179,0.579755620478609,5.11103100080163
"25","N15",1.5371894730704,3.83893748949041,18.9897975596851,36.0654652444864,20.3391229352012,9.06673066881079,21.5959367638888,2.85178564854482,3.98279221509276,10.3921912301899,0.212752055396434,4.43699191801419,0.485428081303819,4.70490962962315
"26","N16",1.51079570975084,4.21130718090621,20.9567371996751,30.3503993230387,17.4413961400193,9.36296937018529,20.4675632626521,2.89322430286903,4.14354389948566,8.77495812998938,0.23292349511325,3.87650911731493,0.690544559988045,5.22105328425683
"27","N17",2.14038634253601,2.70077509093786,20.3620005813992,31.0317480444102,16.5715187560016,10.4320546133441,21.5754039562671,2.74041745967938,1.54109453430355,8.57345766426917,0.216038523851284,3.75512720105637,0.681413104830778,4.86219170212394
