"","Mean_Untreated_het","Median_Untreated_het","SD_Untreated_Het"
"Canx",4.50593020236923,4.43055698250918,0.986975933202614
"Dnajc5",7.77602813812351,6.6857772271425,6.34086634841671
"Egfr",4.15497179701865,3.31526465155416,2.60607003728838
"Errfi1",11.3373640176775,9.59933635197675,5.35882266329351
"Gapdh",8.14938282744945,7.83524496327778,2.42841609373177
"Kpnb1",2.66396866246159,2.6628841422757,0.779616637678359
"Myc",4.35872022084884,4.00495552705851,1.53412435400419
"Nras",3.60685797235297,2.80971050953855,3.50282740646031
"P53",2.37482961425358,2.16626108355989,0.787621427897752
"Rab7a",4.69927394468073,4.73053095334693,0.951193674218942
"Rpap3",1.34571662234166,1.32209128297155,0.139407661074547
"RhoA",3.18497816333028,3.14799784277738,0.763414165763534
"Sec16a",5.22334557774152,4.57322828044612,2.15457597155215
"Slc2a1",10.261881865214,9.12586467793733,4.7034223485367
