"WellName","Canx","Egfr","Nras","Errfi1","Gapdh","Kpnb1","Myc","P53","Rab7a","RhoA","Sec16a","Dnajc5","Rpap3","Slc2a1"
"A10",5.80526443100013,3.43011777397288,3.9977902823519,9.30824130085685,9.305019312362,1.84861303322708,5.06493764897422,2.47915761803295,3.99178867414422,5.61083117890981,14.3793305553204,7.73873523374532,1.33080495858301,9.85325856138913
"A11",8.36584962095772,16.8577988623755,59.2905350207765,9.10985181857806,5.80492728012877,2.45271264338454,3.44078592254867,2.87396323562237,4.59593717129762,2.35009288035084,6.27819570805002,7.36173410036165,1.29945892187213,13.4117264070014
"A13",57.9413304705964,3.19235706764807,2.62779300259284,8.03431924632903,8.84732119932662,1.75949511270599,2.19447380145145,19.5430867637607,5.24096881661154,4.34686257439505,184.156063124709,9.09197228289675,1.3599204445158,NA
"A14",12.5567164950718,10.9505152832715,3.32791293449891,9.13139433046738,19.6486640864011,2.93135639205159,3.81961664222133,3.66455851079342,5.11644058036147,3.11231634415905,19.7649505571142,21.5101059090752,1.38253604239089,9.89956054813638
"A15",4.55031255003934,3.50182311628476,852.025905406886,7.61331387260552,6.36915759716005,3.36898467202389,3.2616984655825,3.80306518795757,4.86968999179413,2.64343401587412,17.5705986930504,131.263054992481,1.15869002923605,10.231506038728
"A16",5.28933232721323,46.927737868625,10.707500187688,8.43502026244921,8.47242166049146,2.47142833243316,3.03428097389388,5.44989055697984,4.84242037451953,3.0221087330509,4.13633920985115,101.418281847009,1.34139680627771,3.93148888658276
"A17",6.45683734362812,3.87817342232208,33.5016703245518,8.34751831132429,11.25717349482,4.34583422369537,3.59150459371071,95.6056071668772,6.94447151746849,4.16868291888652,11.6996691890479,199.840148529941,1.23804751813955,10.3744826825546
"A18",4.57468593768449,5.58628488687201,7.39175969819393,8.16155326323801,7.28917512504597,3.39910707595644,4.14593801106801,4.88482948045288,6.97969462264387,2.43121573245875,9.72061235079872,183.985006332064,1.27841115977026,7.40533145089843
"A19",4.4224481395751,10.3936870002825,6.15335822022486,3.66688987027227,10.1074232818384,2.93864729387753,13.3154609261663,5.95044368049123,4.4437292762991,2.8675034142883,29.0643531542437,349.784162590984,1.66309400112046,15.4587529630746
"A2",6.92616119921128,5.86817101531403,1.91475653005457,8.4871331392443,10.4863207514839,2.18068735360668,5.20105088729848,2.32260813789759,5.54946591532122,2.53759143480479,5.59047198228055,7.57831567487641,1.57014331440291,8.65950609232796
"A20",4.14818775690132,3.45331264699756,150.341810556729,6.48362004054061,10.2957764113306,2.14576323059031,4.01772449882395,3.55896041813242,4.85841369606515,3.30380208001712,21.0843778005761,275.289368393476,1.6630045889497,12.5885765599503
"A21",5.45648564145211,6.39111997510201,22.7454655318015,9.27516130683716,12.8903374183501,2.64513614571459,3.09354368308584,4.73772143893442,4.76231473609755,3.65781858992262,37.3042489523232,298.538197213376,1.40242883475652,10.9319918148821
"A22",3.29743376755745,12.6387794723281,19.4985603746938,4.8942012330802,22.3104534557311,4.14364404387784,4.71829125911013,3.75717635173732,4.72822688574263,4.85378397709803,31.146118648569,196.055519484725,1.3426189405196,9.63466811471095
"A23",5.37592551889992,5.0700902132445,59.5007333619417,7.81852723763268,10.3819468125274,2.43823406789907,5.44885705080608,2.59308490866608,5.71157625230211,3.29928802702703,4.80541831005274,NA,NA,13.4255659540899
"A3",6.50838317762704,3.70249236645449,8.18414101225868,5.18822408768714,9.0026039331959,2.35800381273684,3.51318919826707,4.01899506114639,5.12358254842666,2.1971505842191,5.99171234470975,7.08112898984515,1.40302802196001,7.49112924578828
"A4",5.86101225846795,2.08715951422047,3.74881289833996,3.04458066757948,6.97978141143599,2.33748154408024,3.00447552937657,4.45074259764677,6.06930560527254,2.35656978481271,3.87903642630961,7.22703502915686,2.17170447669762,6.88765400987708
"A5",7.21065725942606,3.95025912986348,3.94856407982135,9.57208457961121,9.25978676540019,2.97363203619217,5.00505742349672,2.13281837476751,6.43263945840092,2.89808200960476,3.18092437674929,7.07589576731911,1.28767184259316,14.5947725709116
"A6",4.75269819815423,1.69880277514819,7.97757885428992,2.47461689248854,7.25644101321148,2.45875444679815,3.75725784402129,2.69030813689482,7.1506089918309,2.27336622104816,4.42628516160501,8.58700169869859,2.29474739591435,4.47966040706986
"A7",4.13148845931802,5.88949031791348,6.76401789353328,8.60239866155858,8.69208619727426,2.42889161035841,5.50975279259978,2.70064698786704,7.18257476058939,2.38315329475306,8.33854944577201,7.34844318675127,1.27520179083982,10.2328524955286
"A8",4.65100737942307,58.4185517031896,12.2056252484635,7.40472005080397,5.8872660977173,2.41878468888997,7.16670267398325,3.1847417742928,6.90312108449626,1.99624530175382,4.56661130989368,7.81105798177929,1.41914317729262,11.7649444557094
"A9",6.2096981586487,9.70113431132407,5.64752357349895,9.27121444927039,48.8108860302922,2.18180945490112,4.02986320895823,2.70322189562251,5.34861456666223,6.43479314382442,38.4104107948155,6.81062250557754,1.2255222462047,6.44596397926309
"B10",4.00400875678675,3.57255972318396,2.58271116030506,11.7729279523009,4.9203381156853,2.32486426819498,3.77065937538882,2.63493694539938,5.22381963012095,2.62551379025697,4.68417783646038,6.14403933127199,1.25149875362455,8.4058545661039
"B11",4.91416441801648,4.2286173788227,2.46736053695798,12.7289940405012,4.96065938683867,2.87755661909708,4.56832731358694,1.9851292831983,4.20259838466571,2.55955310447118,3.2315331249472,7.1776183467843,1.1838144138383,8.59394346355699
"B13",6.16101684088531,8.58188253287855,2.46381124187779,10.2107495089272,11.19980168141,1.71099786240265,2.58473874817392,3.89320346714849,4.51134419280365,2.64492805411417,3.34648686360297,8.59424576330264,1.41993140587696,NA
"B14",4.56638704449974,3.34954508917396,1.92778159521736,17.2042579485258,7.83766014205308,2.68003660886691,3.44347341501206,3720.06194758918,3.92066367204095,3.05731890933619,3.56288372811415,7.31613216897303,1.14187919288913,5.77224577531932
"B15",3.78441058123226,9.06551729734533,2.69542365692207,6.5326349528401,7.84076158616426,2.67992341474747,4.13618778250959,2.60895157470937,5.45696012674324,2.43489376677873,5.76641155641524,9.11764016253132,1.30070525676034,6.35430677038287
"B16",5.09062141093811,1.39573517706661,2.70846802153017,15.1352071871901,6.35709348555091,2.26254384117259,3.73221925808554,2.2633132969847,5.01627424563392,2.66295271350377,7.20190197105333,26.5748812974719,1.26990791647759,7.77454228827441
"B17",4.61817000915476,3.15026017945985,1.56213681045813,7.96661445708536,8.41387123783866,2.43594104267931,3.77230070976113,2.71894988544531,4.80649855845267,2.59764520154217,5.66416381151393,50.338197711622,1.28383445118301,8.42699659022363
"B18",5.2444108581834,1.56720038850086,1.73258040352563,5.88253529077755,7.3020742714825,2.45740536269975,5.10292757031883,2.16420414826546,5.09483360376089,3.41732126002982,2.73352582982633,188.041116200417,1.47263783377899,13.1222086590444
"B19",4.03839639717212,3.22290109268931,0.716995877012834,10.284678568931,3.93625893455985,2.79809630194916,2.28226075121035,1.76046814100674,4.39204257589119,2.15681084253302,4.80911434640965,211.99022888335,1.55699184436615,4.83253061284602
"B2",3.95498325957192,3.97165079073813,2.61233293852133,9.91974135031657,7.82172602095041,2.62290969116081,4.61342994401379,2.00223020912919,5.45173583399171,3.53726636137273,4.15479369181829,6.8682266176235,1.31393044327308,8.17561727013696
"B20",1.86132181145953,2.90962435441054,3.30141963188176,11.917009764052,7.03365782596453,2.51137374116359,2.25069334843369,2.28978952467588,5.67682891217534,3.58828365902366,3.7171082703854,123.665091380885,1.32232439440259,4.81324101480863
"B21",3.52885488730957,3.31766218761782,42.7710672358935,15.3034544814896,14.6347390064301,2.37489514957274,5.2660994845751,1.83039551784217,5.29074181220945,2.96898414216069,3.74896387812731,192.226737329732,1.2849140061002,9.25429816414464
"B22",4.17289055381434,2.15890469750097,1.9008934028941,13.5069606890994,9.96732461983591,3.79195146345652,9.84901894183345,2.30071212514554,6.34306076934001,2.59572001457454,4.77465068291685,335.45530349118,1.43308644004325,10.5365382779914
"B23",5.8210431854307,7.04193434625876,3.2299430005935,NA,9.24836605731697,3.46612308768265,3.22968495472325,2.54490559507398,6.23189957055433,3.88806681525772,9.91767573727284,NA,NA,8.98607091403603
"B3",5.72331993938791,2.48356706344954,1.9849853628852,10.1780485839641,6.5891196383895,2.49993097828555,5.02457323989701,2.64200519369194,6.5273716534915,2.06112111287488,3.8800493927414,6.40041363718194,1.32874245653208,11.4183605813191
"B4",5.63612367244959,2.10086113858897,2.21115097967759,2.6477086077984,5.87612057605556,1.46647753151576,2.7338722157294,4.2808394329761,6.21244940448457,2.28074549654924,4.33980918312034,6.99927450072644,2.28903651896579,5.59848341751076
"B5",4.95165583403497,2.94536937874917,3.20996491835994,12.4321452781225,6.2748382620937,2.49169199989322,5.96538551318596,2.38481932980409,5.81034366966165,2.6000288296146,6.98895682802961,7.21948869528449,1.24413232218018,4.65900275390546
"B6",4.99694126895352,3.40880856330825,2.03709371973685,3.48643344959689,3.58238380924689,1.50498595243006,2.29239036986414,2.53037879003472,4.56967988021987,2.30289439537372,3.31091382870404,7.15621598393024,1.91221164653492,4.56726184254121
"B7",3.85964273551523,3.10026455682881,2.12645510383699,8.55023620411551,8.90561566963304,2.41846916549836,5.69321716464182,1.80605303351631,5.16318581515868,2.0720366995117,4.09472694357509,6.21829558581074,1.42259840556473,4.66226754006826
"B8",3.53500053387033,2.65821165318907,1.4364585179868,12.2926339542614,8.08291312150981,2.90902361776532,4.16350723902025,2.06448038666756,5.90797591060646,2.11964030719621,4.2116437394665,6.8046546776265,1.26015847290864,9.49753400381634
"B9",2.83717622006701,1.95076335018319,4.12405084452558,9.24651987894903,3.89047458311303,1.7348687765649,3.29763427537613,2.54466433394716,3.73624076679307,2.01323077955747,5.05835065016028,5.58397678047582,1.23784777406893,7.95218118336736
"C10",3.00178069055035,3.67706299655369,1.90931044601381,15.6771285140775,7.32748491138988,2.35706185838577,3.44410673557878,1.57614422570119,4.68065258327217,3.56169147944135,3.29574131978454,6.05510629976732,1.4072533027442,10.2104268094958
"C11",2.87102282028612,1.27903595960578,3.0448343530457,4.41446726627493,6.57115821082293,2.07174621555131,5.48726687340951,1.51339140546531,3.77668590293253,2.30874398696852,3.27728695776623,7.09076983522629,1.38669481238433,6.16717562332802
"C13",3.52784984261803,2.15262849183044,1.82309287521642,4.06227625778178,6.51801672114269,0.907076644725703,1.58029330167912,1.40626103346311,4.6056680742781,3.76600434795475,2.62389426142617,7.55982210817586,1.41823469185724,NA
"C14",4.89723404230562,3.75329146612331,1.31952513636886,10.4147756762169,8.00864902643407,2.68639728106081,4.5258700556174,1.75404325266194,4.26262343148041,3.04054097811915,3.4354280143767,7.09968114007436,1.42451030266156,7.03275802552219
"C15",4.19355676120282,2.46576845156981,2.90669974955749,17.7075987590413,8.47386445085661,2.38918664347644,4.43722235624476,2.30498109720174,3.37882364385638,2.74640757372593,3.88163648426106,7.07751911102442,1.33314953406221,7.18069272340769
"C16",4.54126851287907,3.94683333003429,2.07255228600421,5.68182007167581,10.3991198060797,2.95516186831344,3.77247879668327,1.80848857007784,5.10943366182464,3.18630398577906,6.07563603594793,8.07549616990082,1.43873690309731,6.7911060960345
"C17",3.19621217800645,3.39736125264504,2.78469159000782,12.3825897484112,8.23600685832915,2.69851852476407,3.97625821954637,2.47526776233504,6.72957862319222,2.65559873069517,3.7700556586113,7.53735506325169,1.28998598852103,4.66242292522676
"C18",4.57758578289645,4.50075856859884,1.96793644792116,6.79361717291521,7.82815427507578,2.47503967539502,5.18684553061022,1.64806770644617,3.65651649343579,3.19664316481071,4.53675990241846,7.03745321074224,1.24013769842874,8.00236964921789
"C19",3.37941333779157,3.42839270940334,2.11531379528454,12.5427361542808,8.52710701345461,2.5175085262208,6.84598824144552,1.72463728441765,4.72095575802296,2.90664238256394,4.76752338559394,29.7035633240057,1.14482737601121,8.14978249920306
"C2",2.72174622091389,2.1095245164444,1.72142249564024,4.52552048996033,6.14548664483012,1.72500486095295,1.72013884824902,1.77302396889316,6.13538969665895,1.8223652817108,3.01237539068343,7.17937289185132,2.23099864127501,6.7956368688357
"C20",2.5457230047186,2.40501305303498,3.11480251749077,10.6299834887531,8.5853110506373,3.7415979494444,4.35938140304684,2.2337803928066,5.7270437624966,3.10137168954334,4.40020816876574,96.7902629092668,1.19587119382398,11.9900327733904
"C21",4.42890750320756,3.55476787396725,2.2561831923923,5.61319826650057,8.79565626105242,2.68810677964426,NA,1.77523973903483,5.01762785129787,2.15754501281033,4.4413777716077,253.775238142067,1.86654231015277,3.11416516598592
"C22",4.57258826015226,3.32485542340045,1.6179588663703,9.94687050747583,7.88051901290491,2.85466690667909,3.39138318369818,2.29115190384789,5.56089509327333,2.69008629992676,6.09546899550781,158.893641419896,1.2982975061291,6.50964907795976
"C23",3.94302418829373,4.23625317668085,2.69665498738785,11.1513059843182,10.0586799358498,2.46084314318681,1.24080991168697,2.77256293111602,6.01678948774903,3.5588361393997,6.19109973980177,NA,NA,9.26565844183863
"C3",5.09986973927898,3.38292847364236,3.11831134467898,10.1651847853902,7.89405091085229,2.63849447778032,4.04464869360717,1.91483960412136,6.00863872896884,2.25525793237968,4.75559450417976,6.66158612827532,1.28986037562974,12.5872348604838
"C4",3.86156692016474,1.20310177153375,1.79865408356042,2.64055250163814,7.60115204882162,1.39981115133581,1.69807420985858,3.25547470875689,5.62635133725958,2.26254675290202,2.5709247524571,7.18991787156814,2.00791734376251,8.0225192328987
"C5",4.24059264564031,4.17736177821853,1.83739731111161,2.88676726589443,6.89946188089338,1.33814514035513,0.578251291833907,1.32443325622385,5.87735227213705,2.40769822615972,3.07389889563344,6.21936523539869,2.21840205386259,3.95434426998727
"C6",4.53027102053821,2.57418485132871,2.6765442580289,11.7382739044968,7.67959173261448,2.76989953171814,4.3419892193448,28.374878801869,7.50609122218014,2.36974147232834,4.69147908384254,6.64166145643257,1.36421339483112,6.76288398724362
"C7",3.84653808290267,3.74436180064908,2.17996150588693,10.7746486671999,6.65080013775704,2.71149696793851,5.49678933451248,1.79680031003185,6.04244744246452,2.2539418747828,4.31105565147207,6.76902543043004,1.3459012514422,11.3290485243499
"C8",6.06073311210012,2.85650700366764,1.18071498778978,13.5385028589514,5.14846320432549,2.77847374464066,3.78034428373502,1.85510233715433,5.29136051391158,2.19467914162641,3.50159770087109,7.05744058652289,1.21552657919704,7.07791281900708
"C9",5.44603493015224,3.24211701377055,2.584066735539,12.9551459688001,9.09311327087185,2.50042194894878,5.42118228208388,2.12582664401211,5.30670232838002,2.13403745710066,6.1665240475752,6.41879218701272,1.31159939593595,9.94963491539793
"D10",4.25341020213652,1.78404750595525,2.90584334394604,13.4908380509424,7.98801966284282,2.23731503299312,2.65888225532026,2.00769966848339,5.4818563735222,3.26406521405495,5.07469782485752,7.25375455641631,1.65843145626306,6.40528460537706
"D11",3.8765566062422,1.70607800717644,1.6907322151602,5.1455138247774,6.20631258082722,2.560939182081,2.78016975392995,1.63742195255267,5.36155961379043,2.83197723688363,3.66927823687661,7.1278094994051,1.18638123325182,7.76958409630138
"D13",3.14405411464394,1.27390530746345,1.99209674781118,2.15603545673235,4.25225887647637,1.48285190881375,1.90501972944857,2.05070965107023,5.05067000461913,2.57860118102816,2.10310174712424,6.29050068309245,1.34156906166716,NA
"D14",4.61684410021386,3.31516088495857,2.61236498928682,18.8747663760953,6.02714207553991,2.14785760055646,4.03705334579082,1.70032324306518,5.73693565111196,2.95426844480954,2.82228587897194,7.05919299093193,1.30909070738178,9.88209619180565
"D15",4.87600097631108,6.19872772058154,2.94674087753778,8.17734231721741,5.08246375113484,2.13527949258451,3.92647726584287,2.1236450873784,2.66672140369935,2.71282823261006,4.23750894039134,6.63794672172572,1.30931087044906,7.93826372373028
"D16",4.65990186374724,2.29675749175673,1.85070608677271,13.4158699934079,4.69820970756921,2.34124594614837,3.03005015661101,1.95425611351916,3.65706711631322,2.50126513337372,5.77144289473431,7.21386335836608,1.18186597443439,5.62804368828852
"D17",3.90093419641341,3.21589103981615,2.41961636140201,7.55406079372122,12.2617447150516,2.57639188338186,4.28119666958518,2.17146900692438,5.29933604603156,2.48642103697178,3.69237899626796,7.60407662568436,1.300287083304,6.70896741650915
"D18",4.70830204986765,7.31714963802414,1.51324655758231,7.05857349613098,7.51383217568479,3.01472817161415,5.76943457692215,1.95562086660759,4.17361381947183,2.36945211231586,3.40091877502793,7.77808653070238,1.3401763378269,10.3208582447918
"D19",3.96935064086345,6.71875099554345,1.87078928653365,6.17187336373623,6.34866152081534,2.50935492811225,5.31691389324359,2.1760208315985,4.1388214670052,2.2995510071283,5.68133698754807,6.80227851696402,1.47568392174352,8.13991767058575
"D2",3.31133862496596,1.05896803235384,1.75519778156407,3.2680889626502,7.15491264466558,1.23141108077841,0.887153708922602,0.615056771308025,9.96225370707301,3.2250201462092,3.95656898666015,7.55501385178094,2.24194242007171,6.49097877708844
"D20",3.11762027124779,1.66864324265717,2.11197715307859,17.0328817762906,5.62635609802793,1.99952055163018,3.72896257404221,2.02313773686654,5.6333512129357,3.46393977669886,4.77427249695274,10.0047304417497,1.25843262840432,6.22490119484746
"D21",4.66509250938166,2.60048251470707,3.29063142162767,6.37342506188594,5.09778819827086,2.46616875644621,4.29650536220132,2.63468086613018,3.42835406508102,2.55407993495929,4.97421141406946,142.284388384106,1.69561989661385,7.93388882909684
"D22",3.74587075444806,2.73575178630391,2.13072387643642,8.96974961083731,7.57732178923374,1.40170248399946,3.94109428889625,2.05789967604406,5.34321537173664,5.13960448473603,3.38049961715603,1378.20041452486,1.20287550218548,9.57708770506179
"D23",4.57174701885357,4.75252618426434,3.38567393392856,11.0282852942271,10.6463499881561,3.90408466464944,114.31183799587,2.27364831055552,5.91531665182052,3.36713960964587,5.61077773174292,NA,NA,21.5612941115474
"D3",4.76000160987359,3.12434480543629,2.01918266901256,6.53101927645284,5.35583524644816,3.03730604352009,5.38673216497325,2.07816948590128,5.12810330619403,2.6813981773308,4.21444664486178,7.28947011196623,1.30333726029596,11.6756862964615
"D4",3.78765973001508,1.77862051163974,1.22357625214364,3.15010147083696,4.5903994001764,1.70343776557734,0.733670486395705,1.4348963930053,4.50127351765781,2.90888585354371,3.41876465110095,7.36621481501204,1.80304370534617,5.00766878598072
"D5",2.91999000305631,1.90751882453185,3.54816761717223,2.3314630486668,3.46270729024424,1.23271367028228,1.22860736083885,1.63767181323802,6.21750437758147,2.59248033215043,2.98395934040551,6.45130865247402,2.10673236250027,3.35325257069209
"D6",4.64165694325185,1.7409397744842,2.30924192450263,9.37038731217955,9.05802522759612,4.09345086300178,5.27597019556837,2.51081553391698,7.26810856395675,2.4873037324489,2.81571233970315,6.77138111512813,1.27029181367226,10.3048418684975
"D7",3.92649909798252,7.30986019247997,3.06672961196218,12.7683245290537,4.59545899059992,2.85250935635459,5.33602385503941,2.18362623860616,5.98113375911982,2.0762053330552,4.61988050379459,5.95293262980184,1.25399811398611,17.0122798757143
