"","Genes","median","high","max","nintynine","five","min","low","Mean","Genes","median","high","max","nintynine","five","min","low","Mean"
"1","Canx",4.25769610370938,11.3610870040455,57.9413304705964,6.21410102371404,2.84293721337006,1.86132181145953,-2.79726727085114,4.5326672415536,"Canx",4.25318816264237,11.2696292422696,8.36584962095772,6.14741467248825,2.84216908092966,1.86132181145953,-2.72170507772819,4.3487369646597
"2","Dnajc5",6.80653957278681,11.9266428086849,1378.20041452486,97.9472676437023,6.03604722638868,5.04399994614659,1.86138358022369,21.623755585229,"Dnajc5",6.7719223304192,11.5211353837002,96.7902629092668,9.09453907086021,6.0336754968278,5.04399994614659,2.15795221281683,7.97766764105457
"3","Egfr",3.26658793558784,15.6593709409528,96.7802351421854,10.4825015166109,1.60930294727176,0.587860688260361,-8.64084652762357,5.03738759821819,"Egfr",3.18017569539584,14.9056444506755,13.4548400977901,7.47499720698402,1.57281406300365,0.587860688260361,-8.08976438651818,3.68168589168358
"4","Errfi1",8.97273583831715,38.5144633239575,297.640496703867,18.7659107603856,2.69615134564838,0.667040963178455,-20.11832680952,10.4448162900074,"Errfi1",8.96974961083731,38.3892928208803,35.8487873588153,18.5719670620055,2.69486954039572,0.667040963178455,-20.0145799371934,9.58236679927514
"5","Gapdh",7.13668454396695,20.9708192574768,48.8108860302922,11.6732992318566,4.3494584260021,3.46270729024424,-6.52327485178845,7.58643666077118,"Gapdh",7.09768634337268,20.9003029588764,19.6486640864011,11.2559929088129,4.3445081000115,3.46270729024424,-6.50504709407628,7.32878462746444
"6","Kpnb1",2.45548596796481,6.15652692504315,7.74753226860108,3.40749791768819,1.27930019694634,0.135239376172571,-1.26150419069803,2.42712519944772,"Kpnb1",2.45356657322988,6.15519398583074,4.72317947779811,3.38404587399017,1.27639314014355,0.135239376172571,-1.26287365642145,2.41001778121893
"7","Myc",4.08055835916653,14.4322292466416,114.31183799587,8.49298315017513,1.7231455546929,0.578251291833907,-6.02064731511966,4.909909646893,"Myc",4.03671645865302,13.849895093541,13.3154609261663,6.81670802054298,1.72121267197898,0.578251291833907,-5.57331620958819,4.21352662954038
"8","Nras",2.48389535563833,8.96018779296229,852.025905406886,42.3630038578851,1.50459648264915,0.708784309936422,-3.76688819926683,10.7639274770901,"Nras",2.46381124187779,8.27730029881934,42.2269827318823,7.04314841077565,1.47753088380518,0.708784309936422,-3.25863011452524,3.28749755939544
"9","P53",2.05151523039672,5.36926387437972,3720.06194758918,5.49054910201417,1.41879715733134,0.615056771308025,-1.18211491033627,14.3411981792341,"P53",2.00769966848339,5.10973778915236,5.21012485047884,3.28392002833356,1.41781189557132,0.615056771308025,-1.00509048321144,2.12510876298069
"10","Rab7a",4.74795069798952,12.2046647261098,24.1899568265198,6.98171484357524,3.4618627508606,2.66672140369935,-2.58509446221804,4.99219869039166,"Rab7a",4.74098678485614,12.0592887315101,9.96225370707301,6.94591102965973,3.45842244304855,2.66672140369935,-2.46870755999028,4.89596298137277
"11","RhoA",2.68178919049172,7.31589196177194,42.0458087421261,4.06900255097704,1.98472079112483,0.958204360971277,-1.87329524678139,3.03152050410968,"RhoA",2.67484565460729,7.19573155304908,6.43479314382442,4.03306204082803,1.98008718477123,0.958204360971277,-1.77528616398457,2.78265219475926
"12","Rpap3",1.31589941611602,2.29249569091144,2.52617342003875,1.87300428670061,1.15663629142576,1.07312118355053,0.383871747676312,1.38589188204281,"Rpap3",1.3143987975402,2.28478325437376,2.28903651896579,1.8296333264367,1.15581479630164,1.07312118355053,0.390039661706063,1.37892202812489
"13","Sec16a",3.99715401272538,11.5694558145471,184.156063124709,14.7309333516042,2.76040082100131,1.69799828074535,-3.35664894261645,6.19346964292289,"Sec16a",3.97016359170383,11.0166703424807,14.6393948619286,6.64869562568427,2.74061695121384,1.69799828074535,-2.92944046083485,4.27786461823699
"14","Slc2a1",7.75647859945534,26.6527396556983,21.5612941115474,14.254275996236,4.16130428715093,2.9659845415576,-10.7344449313851,8.19198048018157,"Slc2a1",7.75647859945534,26.6527396556983,21.5612941115474,14.254275996236,4.16130428715093,2.9659845415576,-10.7344449313851,8.19198048018157
