"","Class","freq_mean1","freq_mean2","Cell_line","Class","int_mean1","int_mean2","Cell_line","Class","het_mean1","het_mean2","Cell_line"
"1","Bromodomain",0.259471927288171,0.233540132339637,"MCF7","Bromodomain",0.0791378191410897,0.0778358879677874,"MCF7","Bromodomain",0.300986888184297,0.284286790567361,"MCF7"
"2","DNMT",0.155047474900377,0.128908051971532,"MCF7","DNMT",0.109195600093405,0.0560314828492372,"MCF7","DNMT",0.204485900452661,0.15313998670287,"MCF7"
"3","Demythylase",0.157411292607658,0.144109041146941,"MCF7","Demythylase",0.0515879506839398,0.0528476700352091,"MCF7","Demythylase",0.17591936849881,0.164196965037014,"MCF7"
"4","HAT",0.212668199465197,0.190321572610883,"MCF7","HAT",0.0670264216233535,0.0601468067034615,"MCF7","HAT",0.196087027318016,0.176965640391446,"MCF7"
"5","HDAC",0.289670335507127,0.286326725760764,"MCF7","HDAC",0.100164533522939,0.0861959352941218,"MCF7","HDAC",0.352417685745503,0.330074238448932,"MCF7"
"6","Methylase",0.148733381483004,0.124916722303891,"MCF7","Methylase",0.0615984940163589,0.0457094123898532,"MCF7","Methylase",0.165866347355491,0.152055128000741,"MCF7"
"7","SIRT",0.143553109774566,0.121524547706335,"MCF7","SIRT",0.0537688442016107,0.0523152384238818,"MCF7","SIRT",0.211137826522913,0.164995062884415,"MCF7"
