"","HCT116_Mean_Ctrl_freq","SE_HCT116_Ctrl","HCT116_dFre2","HCT116_dFre2"
"Canx",0.219533344773958,0.0124210075007883,0.518831684592756,0.452741987371261
"Dnajc5",0.12466428667472,0.0114795378828092,0.362399133463284,0.380453981607602
"Egfr",0.945822763907042,0.0115066280145874,0.238297475749944,0.224487006477763
"Errfi1",0.823455892453053,0.016947254724622,0.205016563478845,0.188401901550863
"Gapdh",0.90786513277375,0.0128967335241683,0.13004960475873,0.127713919721327
"Kpnb1",1.02182052718438,0.0298310938460477,0.278537900954824,0.265250592843133
"Myc",1.08005680972649,0.006156239691328,0.195148579453745,0.185841191917288
"Nras",0.437313021383626,0.0104849953753593,0.191983803387386,0.168958049207066
"P53",0.118575692900127,0.0121084606899241,0.355806671540265,0.361823965957658
"Rab7a",0.861468025101551,0.0212191501745017,0.133107743274553,0.140676658178941
"RhoA",1.10362925320604,0.0147902052794522,0.12908836126212,0.119135119640037
"Rpap3",0.104762099496116,0.00373665653416826,0.656807221131656,0.604829517407845
"Sec16a",0.10309258568801,0.00455198564078154,0.587634414133082,0.496523963891499
"Slc2a1",0.262714117016369,0.00443280104041047,0.186164841143914,0.189399931294034
