"","WellName","Canx","Dnajc5","Egfr","Errfi1","Gapdh","Kpnb1","Myc","Nras","P53","Rab7a","Rpap3","RhoA","Sec16a","Slc2a1"
"29","N19",22.971468596882,93.1849677966102,156.982161520737,187.876420474777,169.117962355658,157.982785473684,101.104480782313,90.386534841629,92.5113916666667,149.382342105263,22.1079405405405,24.967779876881,13.7389144147399,24.3666760598504
"30","N20",21.8763083932854,85.6787367347143,145.048308411215,169.543752694611,161.894477702703,149.211202673797,98.4493747795414,93.8219762886598,83.538495428572,146.193510823529,21.8137073015873,25.7080108258775,13.7565665906092,26.897756199187
"31","N21",21.3452466200466,96.5747350877193,153.448954382022,170.586023901099,169.410063380282,160.14745295858,99.6762965779468,96.4428020576132,92.151428,139.396164797508,20.1832982068966,22.9287366945218,14.0626934666667,23.334364739726
"32","N22",20.481272244389,NA,155.694025,188.174696118721,166.816719675926,158.052555657492,97.6374530048077,92.5713557291667,NA,142.035858173077,20.7161185714286,24.662276277738,13.9965589855072,24.7764460050251
"33","O13",23.3177715946423,99.6595668322983,157.294776705882,168.528619338422,162.877376309227,NA,98.1387188962208,100.230324271845,NA,138.216216742081,22.0171829931973,25.3767202538903,13.6226341880342,26.6815206436782
"34","O14",21.2103594871795,94.411304587156,174.396488636364,176.959247727273,158.265566382979,150.125763089005,98.9129060021436,93.7856444444444,82.5769179012333,146.574922535211,21.1597979448112,26.2589344238517,13.5087516985266,24.6200283163265
"35","O15",20.4639050751838,98.9277587301587,160.144557142857,189.932263679245,171.111434852547,NA,94.5711490825688,93.2653913265306,NA,142.27777613941,20.85442,25.8887388888889,13.5216497272727,25.0627753579677
"36","O16",22.6952942087542,91.3030434782609,164.046280645161,178.964616839378,166.281631519274,152.117615469613,95.2289656856975,90.9521357723577,80.9384947368421,136.271116616314,21.1825185142857,25.6562678988942,14.0106405741333,26.4312245909091
"37","O17",23.0115521518987,95.6820474576271,168.263983302064,163.905980970149,164.290242444444,158.873110467706,98.4558582263711,94.8975420634921,80.2371344827586,141.66978817734,22.0468708928571,25.6835461234745,14.5125854271357,26.8452400416667
"38","O18",22.1458887745098,84.8941527777778,161.088347046414,175.576641428571,159.142000260417,159.892536938776,93.3133140329469,90.2682816326531,86.1419047619,140.405419555556,21.4121712,25.8306684651527,13.6543694,24.0983603875969
"39","O19",20.5081481012658,93.3507871428571,164.135644885177,184.257674876847,174.169947544204,160.411871197411,97.396855248307,96.0085364035088,NA,143.818891913747,20.8989158385093,26.9161248480845,14.0961909972327,23.238743697479
"40","O20",20.3833603056041,92.5886547169811,160.60669858156,187.107562,162.503386149584,155.790532987552,98.9347181472081,95.6859594339623,72.754375,135.839246575342,21.8057383333333,26.4694920820669,14.1129763030304,22.8370197862233
"41","O21",21.9056283333333,NA,163.769160046189,179.676132225914,167.641669230769,162.850556308411,98.0512068681319,94.1771674074074,NA,135.285557894737,19.9771794897959,26.1954336026201,14.2800441791045,22.4283274926254
"42","O22",19.9251579766537,95.8759972972973,148.243141372141,181.916457967033,160.077573214286,163.066987898089,97.7000148604802,91.4183134502924,84.41878,141.26065,21.0049086705202,26.8222696369376,13.4409997623627,25.3998089044289
"43","P13",22.1197282312925,NA,158.801537788018,178.281164846416,167.355350852273,152.96445880597,103.374339560976,98.9489402390438,79.1835176470588,140.670406954436,21.6761117386838,29.5553120434783,13.8932951430603,27.9540164393939
"44","P14",22.9364677710843,95.3145245283019,169.114181891348,184.439148737374,159.478726954178,153.724340039841,99.6215141757537,93.6283719148936,72.7197204969,137.771914634146,21.2482816666667,29.2058563358779,13.6988681971899,28.6830441478439
"45","P15",22.4629305825243,97.7318160714286,170.184043396226,190.089023943662,173.618589212828,153.86277,102.423656814621,93.4603377777778,87.6218303030303,137.095910136986,22.8232934751773,27.8325334872979,14.124320137931,25.4595887215909
"46","P16",22.816687755102,95.7989514851485,174.528372693032,180.971176175549,166.054957198444,155.6678859447,104.539644984955,92.57803,80.77250625,135.047704477612,22.1578338461538,24.681689804287,14.7220143788057,26.0586683246073
"47","P17",21.7649600205157,103.115576335878,170.253631368421,172.664478729282,167.004433919598,156.973093333333,105.405805972359,99.2859794871795,85.11902,130.585182954545,20.9173783333333,29.0300569444444,14.4293379949558,25.6667891606715
"48","P18",22.2148256227758,92.2552674418605,157.795668298368,169.013806017192,161.313751239669,161.320993116635,100.321634766585,91.2707331460674,78.1923666666667,134.558445454545,21.8441507352941,28.7144051103448,13.8120922057109,26.007870292887
"49","P19",22.1403388831169,97.4563565567744,167.761384698276,180.110022777778,165.997342444444,166.020003257329,98.8397659778226,89.2369204444445,80.7455747126448,149.200145920746,22.4204619186047,27.0783426187151,13.9214916455488,25.7134693363844
"50","P20",22.0728637340153,96.034352,166.376137037037,191.973921629213,166.268284490741,153.25725619469,100.141922584208,89.6809709677419,96.2587265700435,137.998400250627,20.8567907801418,25.7580548868458,13.6326852542373,24.365924744898
"51","P21",22.7130475298126,100.13970613149,161.210291198044,186.686721412301,165.147202391304,164.298429850746,101.471291737408,96.3687095454545,75.5615602040786,137.366443023256,21.2517297419355,27.5069440330697,13.9311232116788,25.112575969163
"52","A23",24.5088530228471,100.785117303698,163.838782568807,188.285143283582,177.033485102041,173.315230517241,110.28673823365,109.020883185841,98.7317596153846,158.789224050633,NA,NA,13.9937307268503,25.8233905773672
"53","B23",23.4825098387097,95.0967324133051,169.407172285714,177.488479081633,181.355808414873,187.897096551724,109.296184384384,101.096481395349,89.4481339622642,162.123222051282,NA,NA,13.8210513289526,25.6683428571429
"54","C23",23.1062948434926,97.2122019736842,172.709532796781,187.459352806122,161.270799492386,171.082408997955,111.321045378151,100.957454782609,92.86133,156.897407589286,NA,NA,13.4210251758673,23.3296864285714
"55","D23",23.2817687931034,95.7495364197531,163.631518289786,197.766876169265,181.662707899461,166.220406711409,110.405923338917,91.6906823275862,93.4125056514918,146.439233251232,NA,NA,14.0485755331226,25.0431976127321
"56","E23",24.5961227848101,96.2384466019417,153.137449895178,178.906918918919,172.692687861272,182.211539285714,108.737897965116,94.3443078947368,108.663949107143,152.966690941385,NA,NA,14.5367644135802,27.1538414376321
"57","F23",23.8944894545455,100.90015,166.227614102564,193.678080612245,173.619864957265,166.290117773019,107.560095390456,95.9538573289902,101.640981914894,143.901154893617,NA,NA,14.101101461039,26.0111337945493
"58","G23",24.1404658484163,100.144464417178,166.370510097087,179.102242043222,170.959125171625,170.994596575342,102.857936465954,95.0103152263375,96.7483974358974,146.060970807453,NA,NA,14.6976219767442,26.1776133534137
