"","Mean_Untreated_Freq","Median_Untreated_Freq","SD_Untreated_freq"
"Canx",1.98886120143611,2.01077844311377,0.181795986035918
"Dnajc5",1.69748791553239,1.68585104779135,0.185124090379923
"Egfr",1.6687155670619,1.67356923989325,0.0998101125118194
"Errfi1",0.266713244824304,0.267032504883872,0.0409839299668006
"Gapdh",1.27208570996723,1.28205128205128,0.0873038971913987
"Kpnb1",1.06130361633555,1.06999727668846,0.0973945860486028
"Myc",0.395883137906361,0.399895004420867,0.0642385068382527
"Nras",0.503053452068152,0.525700281199994,0.172035843355191
"P53",0.315586235179982,0.322314049586777,0.053112382935405
"Rab7a",2.04556040016948,2.05149694286317,0.0851652192953871
"Rpap3",0.310987403820922,0.305292869591574,0.0559038750971763
"RhoA",1.92069996224674,1.93844702467344,0.102295386354519
"Sec16a",0.373851516791829,0.440082644628099,0.20844002494401
"Slc2a1",0.630907691776927,0.790580997499671,0.328754825293551
