"Class","Compound","gene","change_freq","change_int","Cell_line"
"HDAC","4-iodo-SAHA","Nras",-0.517470926214406,-0.041823935160308,"MCF7"
"HDAC","4-iodo-SAHA","P53",-0.356499356499357,-0.054388517218274,"MCF7"
"HDAC","4-iodo-SAHA","Rab7a",-0.199519178592768,-0.106284435904557,"MCF7"
"HDAC","4-iodo-SAHA","RhoA",0.0915079361625599,0.11244735584114,"MCF7"
"HDAC","4-iodo-SAHA","Rpap3",0.19030777821082,-0.093204770947054,"MCF7"
"HDAC","4-iodo-SAHA","Sec16a",-0.025123131703165,-0.097467196817342,"MCF7"
"HDAC","4-iodo-SAHA","Slc2a1",0.14793602917268,-0.152203350725047,"MCF7"
"SIRT","Sirtinol","Canx",0.01823658156952,0.06198290128383,"MCF7"
"SIRT","Sirtinol","Dnajc5",-0.058844057738701,-0.024842202456938,"MCF7"
"SIRT","Sirtinol","Egfr",-0.000569683159196033,-0.012904492181988,"MCF7"
"SIRT","Sirtinol","Errfi1",0.10643205200601,0.02258265745683,"MCF7"
"SIRT","Sirtinol","Gapdh",-0.068384706917949,-0.029009071658917,"MCF7"
"SIRT","Sirtinol","Kpnb1",-0.043072994854967,-0.00939854485495095,"MCF7"
"SIRT","Sirtinol","Myc",-0.013595874355368,-0.067889574359388,"MCF7"
"SIRT","Sirtinol","Nras",0.25178407364131,0.10721355148008,"MCF7"
"SIRT","Sirtinol","P53",0.12163737867303,0.0771356662068201,"MCF7"
"SIRT","Sirtinol","Rab7a",-0.098308321954592,-0.128637318457081,"MCF7"
"SIRT","Sirtinol","RhoA",0.02140182369445,0.09877881753406,"MCF7"
"SIRT","Sirtinol","Rpap3",0.22407467213393,-0.080474874876114,"MCF7"
"SIRT","Sirtinol","Sec16a",0.45764836153006,0.00542362514492001,"MCF7"
"SIRT","Sirtinol","Slc2a1",-0.19557123260827,-0.092905592560195,"MCF7"
"HAT","C646","Canx",0.0342845013269999,0.10787553697615,"MCF7"
"HAT","C646","Dnajc5",-0.108993049432408,-0.026582745084453,"MCF7"
"HAT","C646","Egfr",0.05989453019747,0.0789975798543501,"MCF7"
"HAT","C646","Errfi1",0.22886434952525,0.00503698456565993,"MCF7"
"HAT","C646","Gapdh",-0.103486221209984,-0.054560509128863,"MCF7"
"HAT","C646","Kpnb1",-0.099017616455847,-0.059247903834061,"MCF7"
"HAT","C646","Myc",0.25265695885283,-0.029118844838418,"MCF7"
"HAT","C646","Nras",0.11085602959213,0.0398815144409299,"MCF7"
"HAT","C646","P53",0.17038889862163,0.0571789050162199,"MCF7"
"HAT","C646","Rab7a",-0.066649783191821,-0.10057482446023,"MCF7"
"HAT","C646","RhoA",0.06578875842574,0.18038862294305,"MCF7"
"HAT","C646","Rpap3",0.17624835896092,-0.057821565133622,"MCF7"
"HAT","C646","Sec16a",0.29425158113323,-0.010812158067614,"MCF7"
"HAT","C646","Slc2a1",-0.204784117309032,-0.066249817354088,"MCF7"
"HDAC","Tubastatin A (trifluoroacetate salt)","Canx",-0.062071051521179,0.0513930395982001,"MCF7"
"HDAC","Tubastatin A (trifluoroacetate salt)","Dnajc5",-0.181025806469402,-0.022509926031782,"MCF7"
"HDAC","Tubastatin A (trifluoroacetate salt)","Egfr",-0.00505685867349104,0.01081535700225,"MCF7"
"HDAC","Tubastatin A (trifluoroacetate salt)","Errfi1",0.42888104912255,0.0595485037710699,"MCF7"
"HDAC","Tubastatin A (trifluoroacetate salt)","Gapdh",-0.077966961883516,-0.052867931829863,"MCF7"
"HDAC","Tubastatin A (trifluoroacetate salt)","Kpnb1",-0.161650034342048,-0.042026638492941,"MCF7"
"HDAC","Tubastatin A (trifluoroacetate salt)","Myc",-0.086966995904601,-0.024718112553105,"MCF7"
"HDAC","Tubastatin A (trifluoroacetate salt)","Nras",0.01904804936614,0.0108965682464499,"MCF7"
"HDAC","Tubastatin A (trifluoroacetate salt)","P53",0.14229521042823,0.04575421750044,"MCF7"
"HDAC","Tubastatin A (trifluoroacetate salt)","Rab7a",-0.128580739722296,-0.076618635021303,"MCF7"
"HDAC","Tubastatin A (trifluoroacetate salt)","RhoA",-0.053756617975964,0.12074626316135,"MCF7"
"HDAC","Tubastatin A (trifluoroacetate salt)","Rpap3",0.12265795923739,-0.075487021212208,"MCF7"
"HDAC","Tubastatin A (trifluoroacetate salt)","Sec16a",-0.060763559298238,-0.063120718891715,"MCF7"
"HDAC","Tubastatin A (trifluoroacetate salt)","Slc2a1",-0.525289552753924,0.18371286099248,"MCF7"
"HAT","Garcinol","Canx",0.15700356837567,0.15618752146988,"MCF7"
"HAT","Garcinol","Dnajc5",-0.34384329838397,-0.073641503424664,"MCF7"
"HAT","Garcinol","Egfr",-0.026601402978952,0.00780038574851005,"MCF7"
"HAT","Garcinol","Errfi1",0.65781220509559,0.16075257151831,"MCF7"
"HAT","Garcinol","Gapdh",-0.503035647096202,-0.174927852984258,"MCF7"
"HAT","Garcinol","Kpnb1",0.0270734446784,0.0623811956640901,"MCF7"
"HAT","Garcinol","Myc",-0.272452650735287,-0.067264447475489,"MCF7"
"HAT","Garcinol","Nras",0.14982006845733,0.0937641670870799,"MCF7"
"HAT","Garcinol","P53",0.17463732848348,0.08345741934797,"MCF7"
"HAT","Garcinol","Rab7a",-0.534848203368538,-0.125661959639638,"MCF7"
"HAT","Garcinol","RhoA",-0.052986233044487,0.08043396181262,"MCF7"
"HAT","Garcinol","Rpap3",-0.171113852082032,-0.08394041965094,"MCF7"
"HAT","Garcinol","Sec16a",0.20944810873913,-0.023614091976162,"MCF7"
"HAT","Garcinol","Slc2a1",-0.796925000529807,0.53904259157152,"MCF7"
"Methylase","Ellagic Acid","Canx",-0.022142711781343,0.08072176661362,"MCF7"
"Methylase","Ellagic Acid","Dnajc5",-0.143476842731808,-0.047688554432017,"MCF7"
"Methylase","Ellagic Acid","Egfr",0.06390293523728,0.2552896421394,"MCF7"
"Methylase","Ellagic Acid","Errfi1",0.36819564220193,0.0333594902848999,"MCF7"
"Methylase","Ellagic Acid","Gapdh",-0.037281458554811,-0.049340031976454,"MCF7"
"Methylase","Ellagic Acid","Kpnb1",0.12032057146033,0.0209464684002201,"MCF7"
"Methylase","Ellagic Acid","Myc",-0.268336663729383,0.51823031300904,"MCF7"
"Methylase","Ellagic Acid","Nras",-0.166445344790338,0.0300003854031199,"MCF7"
"Methylase","Ellagic Acid","P53",0.00902897131300007,0.02218572776384,"MCF7"
"Methylase","Ellagic Acid","Rab7a",-0.486095309495799,-0.112391093000032,"MCF7"
"Methylase","Ellagic Acid","RhoA",-0.099200100946521,0.14948662077301,"MCF7"
"Methylase","Ellagic Acid","Rpap3",-0.038762834203461,-0.043560798886268,"MCF7"
"Methylase","Ellagic Acid","Sec16a",0.08257121459273,0.0211456687753999,"MCF7"
"Methylase","Ellagic Acid","Slc2a1",-0.524511616044384,0.34012037703723,"MCF7"
"HDAC","MS-275","Canx",-0.223615943613636,-0.046999681657631,"MCF7"
"HDAC","MS-275","Dnajc5",-0.419179691557854,-0.115909636479657,"MCF7"
"HDAC","MS-275","Egfr",0.0600707327580201,0.20343384905198,"MCF7"
"HDAC","MS-275","Errfi1",0.1697513889566,-0.032994187720331,"MCF7"
"HDAC","MS-275","Gapdh",-0.131813188999512,-0.013449699627594,"MCF7"
"HDAC","MS-275","Kpnb1",-0.390188051882871,-0.11781507633279,"MCF7"
"HDAC","MS-275","Myc",-0.114899856793853,0.3933176262005,"MCF7"
"HDAC","MS-275","Nras",-0.109790410081882,0.01732317541868,"MCF7"
"HDAC","MS-275","P53",-0.526067598156968,0.0149562194063999,"MCF7"
