"","MCF7_Mean_Ctrl_Int","SE_MCF7_Ctrl","MCF7_dInt1","MCF7_dInt2"
"Canx",139.686213220827,0.720686021968454,0.05070176149318,0.046341816440428
"Dnajc5",116.976035794908,0.661944225864309,0.0608215275038465,0.0478317738703633
"Egfr",252.689029147543,5.80145794754849,0.114899788758042,0.108769738243373
"Errfi1",105.855326064417,0.879619266208485,0.0688173561872078,0.0632592130170115
"Gapdh",164.427985913129,1.26213310595521,0.120615384741346,0.120961378549386
"Kpnb1",112.899250416736,0.705743692316526,0.0646727283211024,0.0599415054355939
"Myc",134.029209482245,1.58807986814661,0.08460178732374,0.076636019959045
"Nras",91.9828314254983,1.04299026128047,0.0521281244518273,0.0387619404528935
"P53",98.8091069495825,0.592981492542243,0.051290924212436,0.0464499209014886
"Rab7a",185.117864918832,1.21615917300846,0.0655214150135825,0.065324285283892
"RhoA",81.4523836464059,0.487396241032375,0.0488150857684994,0.0373676765502884
"Rpap3",126.563000520007,2.02555444018784,0.0557181439501707,0.0482049385397402
"Sec16a",100.084832283964,0.592256803324374,0.0413302985355958,0.0408338345022105
"Slc2a1",134.438431498924,1.22912916560281,0.160951120167354,0.0735306758603508
