"","Genes","median","high","max","nintynine","five","min","low","Mean","Genes","median","high","max","nintynine","five","min","low","Mean"
"1","Canx",167.167613095238,237.226470854221,329.95336,185.1707856726,151.407456959707,145.249846428571,97.6341012112264,168.344515413662,"Canx",167.08941379668,236.50311026868,220.44823943662,184.535698446263,151.378773809524,145.249846428571,98.1319145196902,167.538880684239
"2","Dnajc5",140.644261017549,252.008584367369,1151.61891882802,319.314243473257,127.063460494762,120.386952830189,33.9288286205706,168.708450859282,"Dnajc5",139.516061325839,237.296266065383,229.894430078125,179.743688810328,126.962216769627,120.386952830189,45.4407722362298,144.232331921623
"3","Egfr",110.634401375291,178.529658597776,244.950510714286,136.512629166667,96.70291925675,88.4895,41.6689646800507,112.544796756549,"Egfr",110.460359385583,177.721452635958,174.898861290323,130.368192875,96.68976335585,88.4895,42.3086576775827,111.926480796348
"4","Errfi1",91.4436703877005,148.078565992,379.236124543462,107.128182271572,77.1199863090677,66.1733811594333,34.7488915823648,92.396867504341,"Errfi1",91.3870867647059,147.961857139685,124.295439955106,106.310750914195,77.1040734021023,66.1733811594333,34.8438116662961,91.5354883540733
"5","Gapdh",161.831973800047,259.63356183403,429.424319444444,187.775100044859,143.546858777778,137.193110204082,63.7028398430442,164.357863769342,"Gapdh",161.825448636364,259.142334959149,241.050255369928,187.345749747285,143.544140031746,137.193110204082,63.98772686258,163.561868406954
"6","Kpnb1",92.3961693909448,136.726284509084,432.461895522388,101.209242835497,79.4167197925836,71.77275,49.261078471562,93.2300712722451,"Kpnb1",92.3946047393365,136.434909979186,111.014534254144,101.177166527039,79.4005152233715,71.77275,49.4867995038568,92.139293702309
"7","Myc",89.1364977011494,133.375893744978,266.600702681992,98.9496429482424,74.4992548440749,63.311,44.8366594448016,89.9463346541372,"Myc",88.9156141414141,133.23086833509,130.330694957983,97.743970130926,74.4456877101277,63.311,44.739326844046,88.4869658500906
"8","Nras",128.373704468151,183.74928781879,407.687761576286,198.703713872725,115.86651009893,107.108793478261,73.6150396551515,135.935806591658,"Nras",127.870874242424,180.682418881389,197.067979302824,152.066318830409,115.751302788241,107.108793478261,75.6271550236854,129.724448945432
"9","P53",94.6701468085106,134.20493345565,6717.42663339382,112.990680742608,85.8059286909962,77.4626185714286,54.7943602268467,116.659578291357,"P53",94.4942556410256,132.472098198425,121.638714769976,107.755599108893,85.4878614625898,77.4626185714286,56.0253545329216,94.9231780126664
"10","Rab7a",166.319228696479,237.967436633777,234.680946117274,184.468204210167,152.36773326701,146.384716774194,94.7023402399977,167.204151269351,"Rab7a",166.31922869648,237.967436633778,234.680946117274,184.468204210167,152.367733267011,146.384716774194,94.7023402399966,167.204151269351
"11","RhoA",91.717713499594,125.237460245985,192.489005010438,106.375179511887,84.4216461085284,69.172208,58.1395372574848,92.7839850616187,"RhoA",91.703088691044,125.146494332547,121.935195610687,104.458106172609,84.4194439841165,69.172208,58.2001633789506,92.2464723223206
"12","Rpap3",43.7448907317781,53.5879392051709,56.1100775510204,47.3246842311692,41.2615934960709,39.0357571428571,33.9077603792793,43.9201296160198,"Rpap3",43.744399474606,53.5867489158931,51.023856442577,47.2059234477706,41.2592208834571,39.0357571428571,33.8967484342503,43.878807758613
"13","Sec16a",159.737740088166,245.254064694635,422.015352941177,213.399170320327,144.830233198925,135.065192307692,74.916821901017,165.672949211008,"Sec16a",158.891680372671,241.853136877032,230.685072289157,185.861137265117,144.64190217742,135.065192307692,77.294163242067,161.964506120595
"14","Slc2a1",163.677898979592,244.1417768266,220.955074074074,184.747083924964,141.069778417508,130.068925490196,83.1262270570707,163.664223123431,"Slc2a1",163.677898979592,244.1417768266,220.955074074074,184.747083924964,141.069778417509,130.068925490196,83.12622705707,163.664223123431
