"Class","Compound","gene","change_het","change_int","Cell_line"
"HDAC","4-iodo-SAHA","Myc",-0.531891715897827,-0.177105869986597,"MCF7"
"HDAC","4-iodo-SAHA","Nras",-0.446185784395875,-0.041823935160308,"MCF7"
"HDAC","4-iodo-SAHA","P53",-0.4044451863555,-0.054388517218274,"MCF7"
"HDAC","4-iodo-SAHA","Rab7a",-0.539349278684483,-0.106284435904557,"MCF7"
"HDAC","4-iodo-SAHA","RhoA",0.00270946380076009,0.11244735584114,"MCF7"
"HDAC","4-iodo-SAHA","Rpap3",-0.186518489086497,-0.093204770947054,"MCF7"
"HDAC","4-iodo-SAHA","Sec16a",-0.412406310381434,-0.097467196817342,"MCF7"
"HDAC","4-iodo-SAHA","Slc2a1",-0.477243550725303,-0.152203350725047,"MCF7"
"SIRT","Sirtinol","Canx",0.0498620585302201,0.06198290128383,"MCF7"
"SIRT","Sirtinol","Dnajc5",-0.0549100729309711,-0.024842202456938,"MCF7"
"SIRT","Sirtinol","Egfr",-0.047867060399149,-0.012904492181988,"MCF7"
"SIRT","Sirtinol","Errfi1",0.25847460774508,0.02258265745683,"MCF7"
"SIRT","Sirtinol","Gapdh",-0.036406558508343,-0.029009071658917,"MCF7"
"SIRT","Sirtinol","Kpnb1",-0.018893097124726,-0.00939854485495095,"MCF7"
"SIRT","Sirtinol","Myc",-0.134420107688345,-0.067889574359388,"MCF7"
"SIRT","Sirtinol","Nras",0.0749499029557401,0.10721355148008,"MCF7"
"SIRT","Sirtinol","P53",0.21523922537532,0.0771356662068201,"MCF7"
"SIRT","Sirtinol","Rab7a",-0.356940972384022,-0.128637318457081,"MCF7"
"SIRT","Sirtinol","RhoA",0.12803200203902,0.09877881753406,"MCF7"
"SIRT","Sirtinol","Rpap3",-0.13725865175063,-0.080474874876114,"MCF7"
"SIRT","Sirtinol","Sec16a",-0.01955403570493,0.00542362514492001,"MCF7"
"SIRT","Sirtinol","Slc2a1",-0.475254297837112,-0.092905592560195,"MCF7"
"HAT","C646","Canx",0.07876611381998,0.10787553697615,"MCF7"
"HAT","C646","Dnajc5",-0.13553143560561,-0.026582745084453,"MCF7"
"HAT","C646","Egfr",0.09502381782525,0.0789975798543501,"MCF7"
"HAT","C646","Errfi1",-0.127311166791606,0.00503698456565993,"MCF7"
"HAT","C646","Gapdh",-0.205111841932655,-0.054560509128863,"MCF7"
"HAT","C646","Kpnb1",-0.306819440642533,-0.059247903834061,"MCF7"
"HAT","C646","Myc",-0.114834589581476,-0.029118844838418,"MCF7"
"HAT","C646","Nras",-0.008313560668891,0.0398815144409299,"MCF7"
"HAT","C646","P53",-0.088307954979856,0.0571789050162199,"MCF7"
"HAT","C646","Rab7a",-0.202701418627635,-0.10057482446023,"MCF7"
"HAT","C646","RhoA",0.1376842399621,0.18038862294305,"MCF7"
"HAT","C646","Rpap3",-0.128318338483823,-0.057821565133622,"MCF7"
"HAT","C646","Sec16a",0.00629118102935,-0.010812158067614,"MCF7"
"HAT","C646","Slc2a1",-0.173303488895677,-0.066249817354088,"MCF7"
"HDAC","Tubastatin A (trifluoroacetate salt)","Canx",0.05112351484107,0.0513930395982001,"MCF7"
"HDAC","Tubastatin A (trifluoroacetate salt)","Dnajc5",-0.122935460458764,-0.022509926031782,"MCF7"
"HDAC","Tubastatin A (trifluoroacetate salt)","Egfr",0.08166926020442,0.01081535700225,"MCF7"
"HDAC","Tubastatin A (trifluoroacetate salt)","Errfi1",0.21902992994815,0.0595485037710699,"MCF7"
"HDAC","Tubastatin A (trifluoroacetate salt)","Gapdh",-0.218378726988146,-0.052867931829863,"MCF7"
"HDAC","Tubastatin A (trifluoroacetate salt)","Kpnb1",-0.149786851713272,-0.042026638492941,"MCF7"
"HDAC","Tubastatin A (trifluoroacetate salt)","Myc",-0.088295493926243,-0.024718112553105,"MCF7"
"HDAC","Tubastatin A (trifluoroacetate salt)","Nras",-0.030523768974373,0.0108965682464499,"MCF7"
"HDAC","Tubastatin A (trifluoroacetate salt)","P53",-0.062452175413588,0.04575421750044,"MCF7"
"HDAC","Tubastatin A (trifluoroacetate salt)","Rab7a",-0.324663804912989,-0.076618635021303,"MCF7"
"HDAC","Tubastatin A (trifluoroacetate salt)","RhoA",-0.098795962092188,0.12074626316135,"MCF7"
"HDAC","Tubastatin A (trifluoroacetate salt)","Rpap3",-0.104626575696174,-0.075487021212208,"MCF7"
"HDAC","Tubastatin A (trifluoroacetate salt)","Sec16a",-0.214772178013671,-0.063120718891715,"MCF7"
"HDAC","Tubastatin A (trifluoroacetate salt)","Slc2a1",-0.525313809994506,0.18371286099248,"MCF7"
"HAT","Garcinol","Canx",0.26252962385336,0.15618752146988,"MCF7"
"HAT","Garcinol","Dnajc5",-0.18331945820983,-0.073641503424664,"MCF7"
"HAT","Garcinol","Egfr",0.37066432104754,0.00780038574851005,"MCF7"
"HAT","Garcinol","Errfi1",0.52078423628691,0.16075257151831,"MCF7"
"HAT","Garcinol","Gapdh",-0.455687308640275,-0.174927852984258,"MCF7"
"HAT","Garcinol","Kpnb1",0.20236320727215,0.0623811956640901,"MCF7"
"HAT","Garcinol","Myc",-0.206323012069267,-0.067264447475489,"MCF7"
"HAT","Garcinol","Nras",0.25220405467072,0.0937641670870799,"MCF7"
"HAT","Garcinol","P53",-0.014930210472161,0.08345741934797,"MCF7"
"HAT","Garcinol","Rab7a",-0.237942438599206,-0.125661959639638,"MCF7"
"HAT","Garcinol","RhoA",0.1110144197964,0.08043396181262,"MCF7"
"HAT","Garcinol","Rpap3",-0.014670780098151,-0.08394041965094,"MCF7"
"HAT","Garcinol","Sec16a",-0.07794430314458,-0.023614091976162,"MCF7"
"HAT","Garcinol","Slc2a1",-0.139812301087791,0.53904259157152,"MCF7"
"Methylase","Ellagic Acid","Canx",0.02233192356383,0.08072176661362,"MCF7"
"Methylase","Ellagic Acid","Dnajc5",-0.082740461836524,-0.047688554432017,"MCF7"
"Methylase","Ellagic Acid","Egfr",0.42982225149204,0.2552896421394,"MCF7"
"Methylase","Ellagic Acid","Errfi1",0.08018034271924,0.0333594902848999,"MCF7"
"Methylase","Ellagic Acid","Gapdh",-0.10021302049564,-0.049340031976454,"MCF7"
"Methylase","Ellagic Acid","Kpnb1",-0.047801202472397,0.0209464684002201,"MCF7"
"Methylase","Ellagic Acid","Myc",-0.372824793739242,0.51823031300904,"MCF7"
"Methylase","Ellagic Acid","Nras",0.17666584667029,0.0300003854031199,"MCF7"
"Methylase","Ellagic Acid","P53",0.12325191699431,0.02218572776384,"MCF7"
"Methylase","Ellagic Acid","Rab7a",-0.072120168876203,-0.112391093000032,"MCF7"
"Methylase","Ellagic Acid","RhoA",-0.082128070794645,0.14948662077301,"MCF7"
"Methylase","Ellagic Acid","Rpap3",-0.094095049594504,-0.043560798886268,"MCF7"
"Methylase","Ellagic Acid","Sec16a",0.10311445105173,0.0211456687753999,"MCF7"
"Methylase","Ellagic Acid","Slc2a1",-0.145416793247684,0.34012037703723,"MCF7"
"HDAC","MS-275","Canx",-0.257062256866474,-0.046999681657631,"MCF7"
"HDAC","MS-275","Dnajc5",-0.371370509669177,-0.115909636479657,"MCF7"
"HDAC","MS-275","Egfr",0.37028298305509,0.20343384905198,"MCF7"
"HDAC","MS-275","Errfi1",-0.195459104171695,-0.032994187720331,"MCF7"
"HDAC","MS-275","Gapdh",0.1561199093688,-0.013449699627594,"MCF7"
"HDAC","MS-275","Kpnb1",-0.405652451216507,-0.11781507633279,"MCF7"
"HDAC","MS-275","Myc",0.0604669428464599,0.3933176262005,"MCF7"
"HDAC","MS-275","Nras",-0.06026435411107,0.01732317541868,"MCF7"
"HDAC","MS-275","P53",0.19144581584837,0.0149562194063999,"MCF7"
"HDAC","MS-275","Rab7a",-0.444079080826707,-0.137253079655587,"MCF7"
"HDAC","MS-275","RhoA",-0.240696981845295,-0.087010787482737,"MCF7"
"HDAC","MS-275","Rpap3",-0.574898243231909,-0.304226496337081,"MCF7"
"HDAC","MS-275","Sec16a",-0.332470707562078,-0.094353004775669,"MCF7"
"HDAC","MS-275","Slc2a1",-0.238624824273007,0.16079977048323,"MCF7"
"HDAC","HNHA","Canx",-0.069283289691995,0.0331030979118001,"MCF7"
"HDAC","HNHA","Dnajc5",-0.086888239931903,-0.0149460686452511,"MCF7"
"HDAC","HNHA","Egfr",-0.105649757559769,-0.03279034574503,"MCF7"
"HDAC","HNHA","Errfi1",-0.307616962840314,-0.022668432097632,"MCF7"
"HDAC","HNHA","Gapdh",-0.022646941565225,0.00284158282877001,"MCF7"
"HDAC","HNHA","Kpnb1",-0.104635248732154,-0.048837710934951,"MCF7"
"HDAC","HNHA","Myc",-0.084099321545089,0.04013803709943,"MCF7"
"HDAC","HNHA","Nras",-0.015599738056391,0.0384087143971299,"MCF7"
"HDAC","HNHA","P53",0.36579328513172,0.0701130164717201,"MCF7"
"HDAC","HNHA","Rab7a",-0.059098856831644,-0.024906801424854,"MCF7"
"HDAC","HNHA","RhoA",0.0241881135641699,0.0550672206859399,"MCF7"
"HDAC","HNHA","Rpap3",-0.239270824166966,-0.073609217109404,"MCF7"
"HDAC","HNHA","Sec16a",-0.179759127870347,-0.02834682807302,"MCF7"
"HDAC","HNHA","Slc2a1",0.32097285243535,0.73621889620182,"MCF7"
"DNMT","RG-108","Canx",-0.028781660339582,0.0512742981663099,"MCF7"
"DNMT","RG-108","Dnajc5",-0.095984879491602,4.47035573600818e-05,"MCF7"
"DNMT","RG-108","Egfr",0.30211474059457,0.0634343227574099,"MCF7"
"DNMT","RG-108","Errfi1",-0.146644138493486,0.02296142321774,"MCF7"
"DNMT","RG-108","Gapdh",-0.108221209935199,-0.027977755714112,"MCF7"
"DNMT","RG-108","Kpnb1",-0.216071995261883,-0.0280186342683481,"MCF7"
"DNMT","RG-108","Myc",0.0275380721665299,0.0129751698854601,"MCF7"
"DNMT","RG-108","Nras",0.13295615509154,0.04506999269578,"MCF7"
